Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,3,M. Ryan QB - ATL ,30.94,M. Gordon RB - LAC ,7.80,D. Henry RB - TEN ,4.30,K. Allen WR - LAC ,5.30,D. Chark WR - JAX ,7.30,G. Kittle TE - SF ,18.30,M. Jones WR - DET ,3.70,G. Zuerlein K - LA ,1.00,Titans DEF ,4.00,A. Green WR - CIN ,0.00,T. Brady QB - NE ,21.96,A. Robinson WR - CHI ,0.00,D. Waller TE - LV ,0.00,J. Howard RB - PHI ,4.90,S. Barkley RB - NYG ,0.00,82.64,Aiden ,144.90
Sean,6,P. Mahomes QB - KC ,18.82,K. Johnson RB - DET ,14.10,S. Michel RB - NE ,13.30,D. Hopkins WR - HOU ,16.50,M. Gallup WR - DAL ,8.80,W. Dissly TE - SEA ,0.00,N. Chubb RB - CLE ,28.90,W. Lutz K - NO ,7.00,Redskins DEF ,10.00,A. Jeffery WR - PHI ,23.60,Z. Ertz TE - PHI ,7.40,O. Beckham WR - CLE ,16.10,T. Hill WR - KC ,25.00,M. Mack RB - IND ,0.00,J. Smith-Schuster WR - PIT ,1.70,117.42,Ethan,118.70
Justin,1,L. Jackson QB - BAL ,30.64,L. Bell RB - NYJ ,12.30,A. Kamara RB - NO ,13.60,C. Kupp WR - LA ,5.70,C. Godwin WR - TB ,25.10,G. Everett TE - LA ,2.90,L. Fournette RB - JAX ,17.80,R. Gould K - SF ,8.00,Patriots DEF ,25.00,J. Winston QB - TB ,12.10,E. Engram TE - NYG ,0.00,M. Breida RB - SF ,10.30,C. Kirk WR - ARI ,0.00,M. Brown WR - BAL ,0.00,Saints DEF ,11.00,141.04,Ulises,125.92
Luke,7,C. Wentz QB - PHI ,20.54,J. Conner RB - PIT ,30.90,A. Jones RB - GB ,8.00,A. Thielen WR - MIN ,17.70,M. Thomas WR - NO ,16.90,J. Cook TE - NO ,12.70,P. Lindsay RB - DEN ,15.50,M. Gay K - TB ,6.00,Packers DEF ,3.00,M. Sanu WR - NE ,5.90,D. Adams WR - GB ,0.00,J. Goff QB - LA ,1.12,T. Cohen RB - CHI ,0.00,M. Valdes-Scantling WR - GB ,7.70,Bears DEF ,0.00,131.24,Howard,146.70
Ethan,8,A. Luck QB ,0.00,D. Cook RB - MIN ,13.40,C. McCaffrey RB - CAR ,21.70,J. Jones WR - ATL ,18.80,A. Brown WR ,0.00,H. Henry TE - LAC ,30.00,D. Freeman RB - ATL ,26.80,K. Fairbairn K - HOU ,5.00,Chargers DEF ,3.00,M. Ingram RB - BAL ,15.40,K. Drake RB - ARI ,13.00,R. Anderson WR - NYJ ,23.50,D. Njoku TE - CLE ,0.00,M. Williams WR - LAC ,12.20,J. Jacobs RB - LV ,0.00,118.70,Sean,117.42
Aiden ,5,R. Wilson QB - SEA ,28.90,L. McCoy RB - KC ,6.40,M. Brown RB - LA ,4.00,J. Edelman WR - NE ,20.30,S. Diggs WR - MIN ,43.50,G. Olsen TE - CAR ,9.20,M. Evans WR - TB ,20.60,J. Tucker K - BAL ,11.00,Eagles DEF ,1.00,G. Tate WR - NYG ,22.20,C. Newton QB - CAR ,0.00,J. Witten TE - DAL ,10.70,J. Landry WR - CLE ,6.60,T. Lockett WR - SEA ,12.80,T. Gurley RB - LA ,0.00,144.90,Alex,82.64
Howard,2,D. Watson QB - HOU ,29.40,D. Johnson RB - ARI ,28.20,A. Ekeler RB - LAC ,5.80,L. Fitzgerald WR - ARI ,12.90,K. Golladay WR - DET ,17.10,A. Hooper TE - ATL ,25.70,C. Sutton WR - DEN ,11.60,H. Butker K - KC ,6.00,49ers DEF ,10.00,D. Walker TE - TEN ,7.30,F. Gore RB - BUF ,0.00,T. Hilton WR - IND ,0.00,J. Brown WR - BUF ,0.00,J. Brissett QB - IND ,0.00,J. Slye K - CAR ,13.00,146.70,Luke,131.24
Ulises,4,D. Prescott QB - DAL ,18.22,E. Elliott RB - DAL ,26.30,C. Carson RB - SEA ,25.90,A. Cooper WR - DAL ,1.30,T. Boyd WR - CIN ,4.00,T. Kelce TE - KC ,9.80,W. Fuller WR - HOU ,9.40,Z. Gonzalez K - ARI ,10.00,Panthers DEF ,21.00,A. Rodgers QB - GB ,18.32,R. Woods WR - LA ,7.60,S. Watkins WR - KC ,0.00,J. Mixon RB - CIN ,5.90,M. Andrews TE - BAL ,13.90,T. McLaurin WR - WAS ,26.00,125.92,Justin,141.04
