Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,4,T. Brady QB - NE ,13.40,D. Henry RB - TEN ,24.90,S. Barkley RB - NYG ,15.50,M. Jones WR - DET ,26.60,D. Chark WR - JAX ,7.20,G. Kittle TE - SF ,19.90,A. Robinson WR - CHI ,1.60,J. Lambo K - JAX ,3.00,Bills DEF ,8.00,A. Green WR - CIN ,0.00,K. Allen WR - LAC ,7.00,L. Murray RB - NO ,0.00,D. Waller TE - LV ,7.20,J. Smith-Schuster WR - PIT ,4.60,G. Zuerlein K - LA ,0.00,120.10,Ethan,85.60
Sean,7,K. Cousins QB - MIN ,21.30,A. Peterson RB - WAS ,14.00,M. Walton RB ,7.10,E. Sanders WR - SF ,24.20,C. Conley WR - JAX ,5.20,D. Fells TE - HOU ,7.10,J. Landry WR - CLE ,17.10,A. Vinatieri K - IND ,4.00,Seahawks DEF ,3.00,M. Ryan QB - ATL ,0.00,Z. Ertz TE - PHI ,25.30,E. Ebron TE - IND ,3.60,O. Beckham WR - CLE ,13.20,D. Singletary RB - BUF ,23.00,W. Lutz K - NO ,0.00,103.00,Aiden ,137.12
Justin,2,M. Stafford QB - DET ,24.84,L. Bell RB - NYJ ,20.10,L. Fournette RB - JAX ,12.20,C. Godwin WR - TB ,13.90,D. Moore WR - CAR ,17.10,E. Engram TE - NYG ,11.00,T. Coleman RB - SF ,5.60,R. Gould K - SF ,4.00,Patriots DEF ,4.00,G. Everett TE - LA ,0.00,C. Kupp WR - LA ,0.00,A. Kamara RB - NO ,0.00,L. Jackson QB - BAL ,28.62,M. Brown WR - BAL ,7.80,Saints DEF ,0.00,112.74,Howard,126.24
Luke,6,K. Murray QB - ARI ,23.04,A. Jones RB - GB ,3.90,P. Lindsay RB - DEN ,15.20,A. Thielen WR - MIN ,0.00,D. Adams WR - GB ,11.10,V. McDonald TE - PIT ,14.00,M. Mack RB - IND ,8.90,E. Pineiro K - CHI ,2.00,Packers DEF ,2.00,M. Sanu WR - NE ,24.10,J. Goff QB - LA ,0.00,M. Thomas WR - NO ,0.00,J. Conner RB - PIT ,0.00,M. Valdes-Scantling WR - GB ,0.00,Bears DEF ,4.00,80.14,Ulises,101.14
Ethan,8,A. Luck QB ,0.00,D. Cook RB - MIN ,15.60,C. McCaffrey RB - CAR ,37.60,J. Jones WR - ATL ,0.00,A. Brown WR ,0.00,H. Henry TE - LAC ,15.40,D. Freeman RB - ATL ,0.00,K. Fairbairn K - HOU ,10.00,Chargers DEF ,7.00,M. Ingram RB - BAL ,14.40,K. Drake RB - ARI ,28.20,R. Anderson WR - NYJ ,5.30,D. Njoku TE - CLE ,0.00,M. Williams WR - LAC ,14.30,J. Jacobs RB - LV ,24.00,85.60,Alex,120.10
Aiden ,3,R. Wilson QB - SEA ,39.22,M. Gordon RB - LAC ,25.90,N. Chubb RB - CLE ,13.10,D. Hopkins WR - HOU ,19.40,S. Diggs WR - MIN ,2.60,G. Olsen TE - CAR ,7.00,J. Edelman WR - NE ,16.90,J. Tucker K - BAL ,7.00,Eagles DEF ,6.00,G. Tate WR - NYG ,11.80,M. Evans WR - TB ,36.00,T. Lockett WR - SEA ,40.20,T. Gurley RB - LA ,0.00,T. Hill WR - KC ,26.50,P. Mahomes QB - KC ,0.00,137.12,Sean,103.00
Howard,1,D. Watson QB - HOU ,19.74,J. White RB - NE ,16.40,A. Ekeler RB - LAC ,13.30,J. Brown WR - BUF ,11.60,K. Golladay WR - DET ,23.20,J. Graham TE - GB ,5.70,C. Sutton WR - DEN ,17.30,H. Butker K - KC ,16.00,49ers DEF ,3.00,T. Hilton WR - IND ,0.00,D. Johnson RB - ARI ,0.00,J. Brissett QB - IND ,2.76,A. Hooper TE - ATL ,0.00,T. Boyd WR - CIN ,0.00,J. Slye K - CAR ,6.00,126.24,Justin,112.74
Ulises,5,A. Rodgers QB - GB ,12.94,E. Elliott RB - DAL ,13.90,C. Carson RB - SEA ,13.30,A. Cooper WR - DAL ,18.00,T. McLaurin WR - WAS ,7.90,T. Kelce TE - KC ,13.20,D. Amendola WR - DET ,5.90,Z. Gonzalez K - ARI ,5.00,Panthers DEF ,11.00,D. Brees QB - NO ,0.00,S. Watkins WR - KC ,13.30,D. Prescott QB - DAL ,21.48,W. Fuller WR - HOU ,0.00,J. Mixon RB - CIN ,0.00,M. Andrews TE - BAL ,4.10,101.14,Luke,80.14
