Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,3,T. Brady QB - NE ,18.36,D. Henry RB - TEN ,7.30,S. Barkley RB - NYG ,28.30,M. Jones WR - DET ,6.20,D. Chark WR - JAX ,19.90,G. Kittle TE - SF ,14.60,A. Robinson WR - CHI ,11.20,G. Zuerlein K - LA ,6.00,Titans DEF ,11.00,M. Ryan QB - ATL ,0.00,E. Sanders WR - SF ,12.50,A. Green WR - CIN ,0.00,K. Allen WR - LAC ,12.30,D. Waller TE - LV ,9.10,M. Gordon RB - LAC ,11.40,122.86,Justin,143.08
Sean,7,D. Brees QB - NO ,24.92,L. Murray RB - NO ,36.70,N. Chubb RB - CLE ,10.80,D. Hopkins WR - HOU ,21.90,T. Hill WR - KC ,14.10,Z. Ertz TE - PHI ,4.00,S. Michel RB - NE ,7.40,W. Lutz K - NO ,7.00,Rams DEF ,9.00,A. Jeffery WR - PHI ,10.40,O. Beckham WR - CLE ,10.20,M. Mack RB - IND ,16.00,P. Mahomes QB - KC ,0.00,J. Smith-Schuster WR - PIT ,21.30,-,-,135.82,Luke,140.38
Justin,1,M. Stafford QB - DET ,23.38,L. Bell RB - NYJ ,6.50,L. Fournette RB - JAX ,20.60,C. Kupp WR - LA ,35.00,C. Godwin WR - TB ,10.30,E. Engram TE - NYG ,14.00,C. Edmonds RB - ARI ,3.30,R. Gould K - SF ,9.00,Patriots DEF ,21.00,G. Everett TE - LA ,3.50,A. Kamara RB - NO ,0.00,L. Jackson QB - BAL ,0.00,D. Moore WR - CAR ,8.80,M. Brown WR - BAL ,0.00,Saints DEF ,8.00,143.08,Alex,122.86
Luke,6,J. Goff QB - LA ,22.88,J. Conner RB - PIT ,24.00,A. Jones RB - GB ,41.60,M. Thomas WR - NO ,27.30,M. Valdes-Scantling WR - GB ,1.40,V. McDonald TE - PIT ,4.90,M. Sanu WR - NE ,4.30,E. Pineiro K - CHI ,10.00,Packers DEF ,4.00,A. Thielen WR - MIN ,0.00,D. Adams WR - GB ,0.00,C. Wentz QB - PHI ,14.38,T. Cohen RB - CHI ,7.60,P. Lindsay RB - DEN ,12.60,Bears DEF ,4.00,140.38,Sean,135.82
Ethan,8,A. Luck QB ,0.00,D. Cook RB - MIN ,28.10,C. McCaffrey RB - CAR ,27.50,J. Jones WR - ATL ,25.20,A. Brown WR ,0.00,H. Henry TE - LAC ,8.70,D. Freeman RB - ATL ,16.20,K. Fairbairn K - HOU ,9.00,Chargers DEF ,9.00,M. Ingram RB - BAL ,0.00,K. Drake RB - ARI ,0.00,R. Anderson WR - NYJ ,8.30,D. Njoku TE - CLE ,0.00,M. Williams WR - LAC ,9.90,J. Jacobs RB - LV ,10.10,123.70,Howard,129.86
Aiden ,5,R. Wilson QB - SEA ,15.68,L. McCoy RB - KC ,8.30,T. Gurley RB - LA ,10.40,T. Lockett WR - SEA ,16.00,S. Diggs WR - MIN ,19.30,G. Olsen TE - CAR ,3.30,J. Edelman WR - NE ,27.50,M. Nugent K ,9.00,Eagles DEF ,10.00,G. Tate WR - NYG ,16.50,C. Newton QB - CAR ,0.00,J. Witten TE - DAL ,0.00,M. Evans WR - TB ,42.80,J. Landry WR - CLE ,11.50,J. Tucker K - BAL ,0.00,119.48,Ulises,109.40
Howard,2,D. Watson QB - HOU ,27.76,J. White RB - NE ,11.90,A. Ekeler RB - LAC ,10.20,L. Fitzgerald WR - ARI ,2.80,K. Golladay WR - DET ,28.30,A. Hooper TE - ATL ,18.50,T. Hilton WR - IND ,7.40,H. Butker K - KC ,6.00,49ers DEF ,17.00,D. Walker TE - TEN ,0.00,J. Brown WR - BUF ,10.40,D. Johnson RB - ARI ,0.00,J. Brissett QB - IND ,9.48,C. Sutton WR - DEN ,10.20,J. Slye K - CAR ,3.00,129.86,Ethan,123.70
Ulises,4,A. Rodgers QB - GB ,27.10,J. Mixon RB - CIN ,17.70,C. Carson RB - SEA ,15.00,R. Woods WR - LA ,6.20,K. Stills WR - HOU ,5.20,T. Kelce TE - KC ,16.30,T. McLaurin WR - WAS ,7.90,Z. Gonzalez K - ARI ,11.00,Panthers DEF ,3.00,S. Watkins WR - KC ,9.50,A. Cooper WR - DAL ,0.00,E. Elliott RB - DAL ,0.00,D. Prescott QB - DAL ,0.00,W. Fuller WR - HOU ,0.00,M. Andrews TE - BAL ,0.00,109.40,Aiden ,119.48
