Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,1,T. Brady QB - NE ,20.14,D. Henry RB - TEN ,11.60,S. Barkley RB - NYG ,7.70,K. Allen WR - LAC ,43.60,A. Robinson WR - CHI ,12.00,G. Kittle TE - SF ,11.70,M. Jones WR - DET ,22.10,G. Zuerlein K - LA ,10.00,Bills DEF ,11.00,M. Ryan QB - ATL ,22.46,A. Green WR - CIN ,0.00,D. Waller TE - LV ,27.10,W. Fuller WR - HOU ,10.10,P. Barber RB - TB ,7.50,Ravens DEF ,0.00,149.84,Howard,91.94
Sean,4,P. Mahomes QB - KC ,27.86,K. Johnson RB - DET ,11.30,N. Chubb RB - CLE ,17.10,D. Hopkins WR - HOU ,12.70,O. Beckham WR - CLE ,11.60,T. Hockenson TE - DET ,1.10,C. Ridley WR - ATL ,1.60,W. Lutz K - NO ,3.00,49ers DEF ,7.00,A. Jeffery WR - PHI ,0.00,Z. Ertz TE - PHI ,10.40,D. Williams RB - KC ,0.00,T. Boyd WR - CIN ,12.80,M. Mack RB - IND ,16.80,J. Smith-Schuster WR - PIT ,17.10,93.26,Ulises,125.34
Justin,3,L. Jackson QB - BAL ,21.28,L. Fournette RB - JAX ,15.20,A. Kamara RB - NO ,37.10,C. Godwin WR - TB ,7.00,M. Brown WR - BAL ,6.90,E. Engram TE - NYG ,23.30,L. Bell RB - NYJ ,10.30,R. Gould K - SF ,6.00,Patriots DEF ,14.00,E. Ebron TE - IND ,7.70,S. Diggs WR - MIN ,4.50,C. Kupp WR - LA ,33.10,M. Breida RB - SF ,10.80,J. Allen QB - BUF ,18.32,Saints DEF ,14.00,141.08,Ethan,98.40
Luke,7,C. Wentz QB - PHI ,21.66,J. Conner RB - PIT ,7.70,A. Jones RB - GB ,15.30,D. Adams WR - GB ,9.60,M. Thomas WR - NO ,16.40,J. Cook TE - NO ,1.70,A. Thielen WR - MIN ,20.60,S. Gostkowski K - NE ,6.00,Packers DEF ,13.00,M. Sanu WR - NE ,13.70,T. Cohen RB - CHI ,4.40,P. Lindsay RB - DEN ,29.00,B. Mayfield QB - CLE ,9.70,M. Valdes-Scantling WR - GB ,21.90,Bears DEF ,21.00,111.96,Aiden ,154.84
Ethan,8,A. Luck QB ,0.00,D. Cook RB - MIN ,24.30,C. McCaffrey RB - CAR ,27.80,J. Jones WR - ATL ,26.80,A. Brown WR ,0.00,H. Henry TE - LAC ,0.00,D. Freeman RB - ATL ,12.50,K. Fairbairn K - HOU ,3.00,Chargers DEF ,4.00,M. Ingram RB - BAL ,35.50,K. Drake RB - ARI ,8.20,R. Anderson WR - NYJ ,4.10,D. Njoku TE - CLE ,0.00,M. Williams WR - LAC ,7.50,J. Jacobs RB - LV ,4.40,98.40,Justin,141.08
Aiden ,6,R. Wilson QB - SEA ,41.34,L. Murray RB - NO ,0.20,T. Gurley RB - LA ,4.30,J. Edelman WR - NE ,19.20,M. Evans WR - TB ,45.00,J. Witten TE - DAL ,8.40,T. Lockett WR - SEA ,32.40,J. Tucker K - BAL ,4.00,Eagles DEF ,0.00,E. Sanders WR - SF ,3.00,G. Tate WR - NYG ,0.00,C. Newton QB - CAR ,0.00,G. Olsen TE - CAR ,25.50,T. Benjamin WR - LAC ,2.50,J. Landry WR - CLE ,9.20,154.84,Luke,111.96
Howard,5,D. Watson QB - HOU ,25.84,D. Johnson RB - ARI ,18.50,A. Ekeler RB - LAC ,15.10,L. Fitzgerald WR - ARI ,14.60,K. Golladay WR - DET ,3.70,V. McDonald TE - PIT ,2.00,J. Ross WR - CIN ,2.20,H. Butker K - KC ,9.00,Titans DEF ,1.00,T. Hilton WR - IND ,20.50,C. Keenum QB - WAS ,11.58,R. Mostert RB - SF ,5.90,A. Hooper TE - ATL ,24.60,Rams DEF ,9.00,Buccaneers DEF ,8.00,91.94,Alex,149.84
Ulises,2,D. Prescott QB - DAL ,22.54,E. Elliott RB - DAL ,15.90,C. Carson RB - SEA ,4.00,S. Watkins WR - KC ,11.40,A. Cooper WR - DAL ,26.80,T. Kelce TE - KC ,15.90,R. Woods WR - LA ,8.80,Z. Gonzalez K - ARI ,8.00,Cowboys DEF ,12.00,A. Rodgers QB - GB ,13.30,J. White RB - NE ,0.00,D. Robinson WR - KC ,13.30,J. Mixon RB - CIN ,17.40,M. Andrews TE - BAL ,4.50,D. Metcalf WR - SEA ,8.70,125.34,Sean,93.26
