Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,2,J. Allen QB - BUF ,16.16,K. Williams RB - LA IA ,24.50,J. Gibbs RB - DET ,24.80,S. Diggs WR - HOU ,8.80,A. Brown WR - PHI Q ,10.60,S. LaPorta TE - DET Q ,28.60,S. Barkley RB - PHI ,5.70,Y. Koo K - ATL ,1.00,Saints DEF ,14.00,D. Henry RB - BAL ,5.00,J. Ferguson TE - DAL ,10.40,B. Hall RB - NYJ ,2.80,B. Purdy QB - SF IA ,25.68,R. Rice WR - KC IA ,24.10,J. Addison WR - MIN ,29.10,134.16,Joshua,75.90
Joshua,7,P. Mahomes QB - KC IA ,15.70,D. Swift RB - CHI IA ,9.50,J. Ford RB - CLE ,7.10,K. Allen WR - CHI IA ,0.00,D. Samuel WR - SF ,21.90,K. Pitts TE - ATL ,6.70,T. Dell WR - HOU IR ,0.00,J. Sanders K - MIA ,12.00,Eagles DEF ,3.00,L. Thomas TE - WAS ,1.70,C. Kupp WR - LA IA ,25.10,K. Murray QB - ARI ,13.34,T. McLaurin WR - WAS ,26.10,T. Higgins WR - CIN IA ,22.10,J. Cook RB - BUF ,36.10,75.90,Alex,134.16
Justin,5,M. Stafford QB - LA IA ,18.52,T. Pollard RB - TEN ,7.70,D. Singletary RB - NYG ,21.00,C. Lamb WR - DAL ,18.60,J. Jefferson WR - MIN ,15.40,C. Kmet TE - CHI Q ,13.30,B. Aiyuk WR - SF ,6.70,B. Aubrey K - DAL ,4.00,Cowboys DEF ,0.00,C. Sutton WR - DEN Q ,12.10,G. Edwards RB - LAC ,13.90,J. Jacobs RB - GB IA ,0.00,T. Tagovailoa QB - MIA ,12.96,P. Freiermuth TE - PIT ,4.60,J. Warren RB - PIT ,11.80,105.22,Luke,103.52
Luke,6,J. Hurts QB - PHI Q ,21.92,A. Jones RB - MIN ,10.90,T. Etienne RB - JAX ,9.90,D. Adams WR - LV ,24.10,G. Wilson WR - NYJ Q ,5.90,T. Kelce TE - KC IA ,7.80,R. Doubs WR - GB Q ,6.00,J. Myers K - SEA ,8.00,Ravens DEF ,9.00,M. Mariota QB - WAS ,0.00,J. Goff QB - DET ,31.12,A. Mattison RB - LV ,0.00,N. Collins WR - HOU ,0.00,K. Walker RB - SEA ,20.20,Z. Charbonnet RB - SEA ,1.60,103.52,Justin,105.22
Matthew,1,L. Jackson QB - BAL IA ,18.54,J. Mixon RB - HOU ,15.10,R. White RB - TB ,21.90,M. Evans WR - TB ,15.70,D. Smith WR - PHI IA ,10.00,T. Hockenson TE - MIN IR ,12.30,D. Hopkins WR - TEN ,4.10,J. Tucker K - BAL ,11.00,Bills DEF ,9.00,T. Hill WR - MIA ,0.00,J. Fields QB - PIT ,9.64,J. Williams RB - DEN ,4.00,N. Harris RB - PIT ,1.30,B. Robinson RB - WAS ,0.00,C. Stroud QB - HOU ,0.00,117.64,Howard,95.06
Aiden,8,J. Love QB - GB ,17.46,A. Ekeler RB - WAS ,7.80,Z. Moss RB - CIN ,12.30,M. Pittman WR - IND ,11.80,A. St. Brown WR - DET ,24.20,G. Kittle TE - SF Q ,7.40,A. Cooper WR - CLE IA ,20.90,B. McManus K - WAS ,1.00,49ers DEF ,12.00,J. Conner RB - ARI ,17.90,M. Brown WR - KC IR ,0.00,T. Lawrence QB - JAX ,14.66,I. Pacheco RB - KC ,0.00,S. Howell QB - SEA ,8.28,T. Bass K - BUF ,7.00,114.86,Ulises,151.52
Howard,4,D. Prescott QB - DAL ,6.06,A. Kamara RB - NO IA ,16.00,B. Robinson RB - ATL ,0.40,J. Chase WR - CIN ,10.40,J. Reed WR - GB ,17.20,D. Njoku TE - CLE ,26.40,E. Elliott RB - DAL ,9.60,D. Hopkins K - CLE IA ,8.00,Giants DEF ,1.00,A. Thielen WR - CAR ,8.30,D. Moore WR - CHI ,9.20,C. Ridley WR - TEN ,8.90,J. Taylor RB - IND ,0.00,C. Hubbard RB - CAR ,12.30,I. Likely TE - BAL ,18.00,95.06,Matthew,117.64
Ulises,3,R. Wilson QB - PIT ,17.52,C. McCaffrey RB - SF IA ,41.70,D. Montgomery RB - DET ,10.20,D. Metcalf WR - SEA ,12.80,P. Nacua WR - LA ,10.30,E. Engram TE - JAX ,6.80,J. Waddle WR - MIA IA ,28.20,H. Butker K - KC ,11.00,Browns DEF ,13.00,R. Mostert RB - MIA IA ,18.30,R. Stevenson RB - NE IR ,0.00,C. Olave WR - NO ,0.00,Z. Flowers WR - BAL IA ,1.70,D. Kincaid TE - BUF ,0.00,D. Achane RB - MIA ,9.20,151.52,Aiden,114.86
