Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,4,L. Jackson QB - BAL IA ,6.56,J. Conner RB - ARI ,12.00,S. Barkley RB - PHI ,9.30,S. Diggs WR - HOU ,26.20,A. Brown WR - PHI Q ,14.90,D. Njoku TE - CLE ,4.40,D. Metcalf WR - SEA ,13.70,G. Zuerlein K - NYJ ,10.00,Jaguars DEF ,11.00,J. Allen QB - BUF ,9.04,D. Johnson WR - CAR ,7.80,B. Hall RB - NYJ ,15.70,R. White RB - TB ,6.90,B. Robinson RB - WAS ,13.60,J. Addison WR - MIN ,16.10,108.06,Joshua,84.24
Joshua,8,P. Mahomes QB - KC IA ,19.54,D. Swift RB - CHI IA ,1.30,T. Etienne RB - JAX ,21.40,D. Samuel WR - SF ,11.30,T. Higgins WR - CIN IA ,0.00,D. Waller TE - NYG ,6.60,T. McLaurin WR - WAS ,5.10,Y. Koo K - ATL ,6.00,Eagles DEF ,13.00,A. Rodgers QB - NYJ IA ,0.00,C. Kupp WR - LA IA ,0.00,A. Dillon RB - GB IA ,5.60,K. Pitts TE - ATL ,6.40,K. Toney WR - KC IA ,1.00,D. Pierce RB - HOU ,6.70,84.24,Alex,108.06
Justin,3,J. Burrow QB - CIN IR ,3.18,J. Mixon RB - HOU ,10.30,T. Pollard RB - TEN ,22.20,C. Lamb WR - DAL ,11.70,J. Jefferson WR - MIN ,24.00,T. Hockenson TE - MIN IR ,11.50,C. Ridley WR - TEN ,24.10,J. Tucker K - BAL ,5.00,Bills DEF ,5.00,E. Elliott RB - DAL ,7.30,C. Akers RB - MIN IR ,8.90,P. Freiermuth TE - PIT ,7.30,G. Pickens WR - PIT ,8.60,J. Dotson WR - WAS ,9.00,-,-,116.98,Luke,103.74
Luke,7,J. Fields QB - PIT ,14.54,A. Jones RB - MIN ,26.70,J. Williams RB - DEN ,9.70,D. Adams WR - LV ,12.60,G. Wilson WR - NYJ Q ,14.40,G. Everett TE - CHI Q ,4.30,M. Williams WR - NYJ IR ,8.50,J. Myers K - SEA ,7.00,Patriots DEF ,6.00,T. Kelce TE - KC IA ,0.00,M. Evans WR - TB ,18.60,D. Prescott QB - DAL ,6.32,D. Moore WR - CHI ,4.50,A. Mattison RB - LV ,13.40,K. Walker RB - SEA ,10.70,103.74,Justin,116.98
Matthew,6,J. Hurts QB - PHI Q ,12.50,M. Sanders RB - CAR ,11.80,B. Robinson RB - ATL ,20.30,K. Allen WR - CHI IA ,14.20,J. Chase WR - CIN ,9.10,D. Goedert TE - PHI ,0.00,D. Smith WR - PHI IA ,17.70,R. Patterson K - JAX ,3.00,Jets DEF ,20.00,T. Lockett WR - SEA ,3.00,M. Thomas WR - NO IR ,11.10,D. Cook RB - BAL ,8.90,J. Taylor RB - IND ,0.00,J. Cook RB - BUF ,10.30,C. Watson WR - GB IA ,0.00,108.60,Howard,137.34
Aiden,5,T. Lawrence QB - JAX ,17.74,A. Ekeler RB - WAS ,26.40,J. Jacobs RB - GB IA ,9.10,C. Godwin WR - TB ,10.10,A. St. Brown WR - DET ,19.10,G. Kittle TE - SF Q ,4.90,A. Cooper WR - CLE IA ,6.70,T. Bass K - BUF ,12.00,49ers DEF ,13.00,B. Cooks WR - DAL ,4.20,J. Williams RB - NO ,7.20,C. Kirk WR - JAX IA ,1.90,M. Pittman WR - IND ,23.70,C. Okonkwo TE - TEN ,0.00,I. Pacheco RB - KC ,9.40,119.04,Ulises,154.76
Howard,2,T. Tagovailoa QB - MIA ,27.14,D. Henry RB - BAL ,13.90,K. Herbert RB - CHI ,11.40,D. Hopkins WR - TEN ,13.50,T. Hill WR - MIA ,44.50,E. Engram TE - JAX ,9.90,J. Gibbs RB - DET ,8.00,D. Carlson K - LV ,5.00,Chiefs DEF ,4.00,G. Smith QB - SEA ,9.08,O. Beckham WR - BAL IA ,5.70,J. Wilson RB - MIA ,0.00,M. Andrews TE - BAL IR ,0.00,N. Harris RB - PIT ,5.30,T. Dell WR - HOU IR ,6.40,137.34,Matthew,108.60
Ulises,1,J. Herbert QB - LAC IR ,20.86,C. McCaffrey RB - SF IA ,25.90,N. Chubb RB - CLE IR ,16.70,J. Waddle WR - MIA IA ,11.80,C. Olave WR - NO ,19.20,D. Schultz TE - HOU ,2.40,R. Stevenson RB - NE IR ,14.90,H. Butker K - KC ,8.00,Cowboys DEF ,35.00,A. Kamara RB - NO IA ,0.00,D. Montgomery RB - DET ,13.40,J. Jeudy WR - CLE ,0.00,D. London WR - ATL ,0.00,Z. Flowers WR - BAL IA ,17.70,D. Achane RB - MIA ,0.00,154.76,Aiden,119.04
