Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,6,L. Jackson QB - BAL IA ,28.18,K. Williams RB - LA IA ,8.50,R. White RB - TB ,7.20,S. Diggs WR - HOU ,19.10,A. Brown WR - PHI Q ,22.10,H. Henry TE - NE IR ,3.70,J. Addison WR - MIN ,11.20,J. Sanders K - MIA ,10.00,Chiefs DEF ,11.00,J. Conner RB - ARI ,19.60,J. Allen QB - BUF ,21.32,S. Barkley RB - PHI ,0.00,D. Metcalf WR - SEA ,17.20,C. Akers RB - MIN IR ,0.00,B. Hall RB - NYJ ,3.70,120.98,Howard,143.08
Joshua,7,P. Mahomes QB - KC IA ,25.68,A. Dillon RB - GB IA ,3.30,T. Etienne RB - JAX ,17.80,D. Samuel WR - SF ,25.10,T. Higgins WR - CIN IA ,4.10,D. Waller TE - NYG ,5.00,T. McLaurin WR - WAS ,10.10,Y. Koo K - ATL ,6.00,Eagles DEF ,12.00,B. Cooks WR - DAL ,3.70,C. Kupp WR - LA IA ,0.00,D. Watson QB - CLE IR ,21.16,D. Swift RB - CHI IA ,14.80,K. Pitts TE - ATL ,8.70,D. Pierce RB - HOU ,14.90,109.08,Matthew,132.34
Justin,1,J. Love QB - GB ,24.26,J. Mixon RB - HOU ,14.00,T. Pollard RB - TEN ,15.10,C. Lamb WR - DAL ,10.20,J. Jefferson WR - MIN ,27.90,T. Hockenson TE - MIN IR ,13.80,G. Pickens WR - PIT ,11.50,J. Tucker K - BAL ,7.00,Steelers DEF ,11.00,C. Ridley WR - TEN ,7.00,J. Burrow QB - CIN IR ,8.16,B. Aiyuk WR - SF ,0.00,T. Atwell WR - LA ,17.20,P. Freiermuth TE - PIT ,13.10,J. Ford RB - CLE ,19.10,134.76,Ulises,101.10
Luke,2,D. Prescott QB - DAL ,14.36,A. Mattison RB - LV ,17.50,K. Walker RB - SEA ,30.60,M. Evans WR - TB ,17.00,D. Adams WR - LV ,42.20,T. Kelce TE - KC IA ,19.90,M. Williams WR - NYJ IR ,25.10,J. Myers K - SEA ,17.00,Patriots DEF ,9.00,G. Everett TE - CHI Q ,9.00,A. Jones RB - MIN ,0.00,D. Moore WR - CHI ,13.10,J. Fields QB - PIT ,10.66,J. Williams RB - DEN ,8.50,G. Wilson WR - NYJ Q ,9.80,192.66,Aiden,147.76
Matthew,4,J. Hurts QB - PHI Q ,19.88,B. Robinson RB - WAS ,7.00,B. Robinson RB - ATL ,10.00,K. Allen WR - CHI IA ,45.46,D. Smith WR - PHI IA ,6.80,D. Goedert TE - PHI ,9.10,J. Chase WR - CIN ,26.10,D. Carlson K - LV ,4.00,Jets DEF ,4.00,M. Thomas WR - NO IR ,11.00,M. Sanders RB - CAR ,17.20,J. Taylor RB - IND ,0.00,N. Harris RB - PIT ,6.50,J. Cook RB - BUF ,13.20,C. Watson WR - GB IA ,0.00,132.34,Joshua,109.08
Aiden,8,T. Lawrence QB - JAX ,14.36,J. Jacobs RB - GB IA ,11.00,Z. Moss RB - CIN ,22.50,M. Pittman WR - IND ,16.70,A. St. Brown WR - DET ,19.60,G. Kittle TE - SF Q ,16.00,A. Cooper WR - CLE IA ,24.60,T. Bass K - BUF ,15.00,49ers DEF ,8.00,K. Hunt RB - CLE ,5.50,C. Godwin WR - TB ,8.20,A. Ekeler RB - WAS ,0.00,C. Kirk WR - JAX IA ,15.40,C. Okonkwo TE - TEN ,3.70,I. Pacheco RB - KC ,15.80,147.76,Luke,192.66
Howard,3,K. Cousins QB - ATL IR ,25.68,R. Mostert RB - MIA IA ,45.20,J. Gibbs RB - DET ,9.20,T. Lockett WR - SEA ,8.40,N. Collins WR - HOU ,5.40,M. Andrews TE - BAL IR ,7.50,T. Hill WR - MIA ,30.70,B. Aubrey K - DAL ,10.00,Cowboys DEF ,1.00,D. Hopkins WR - TEN ,7.80,D. Parker WR - PHI ,3.90,E. Engram TE - JAX ,13.70,A. Kamara RB - NO IA ,0.00,J. Meyers WR - LV ,15.50,T. Tagovailoa QB - MIA ,28.36,143.08,Alex,120.98
Ulises,5,J. Herbert QB - LAC IR ,29.30,D. Henry RB - BAL ,2.00,C. McCaffrey RB - SF IA ,22.90,C. Olave WR - NO ,18.40,P. Nacua WR - LA ,12.20,H. Hurst TE - LAC IR ,2.10,R. Stevenson RB - NE IR ,7.20,H. Butker K - KC ,11.00,Jaguars DEF ,-4.00,Z. Ertz TE - WAS Q ,2.60,D. Montgomery RB - DET ,0.00,J. Jeudy WR - CLE ,13.10,J. Waddle WR - MIA IA ,0.00,Z. Flowers WR - BAL IA ,13.00,D. Achane RB - MIA ,51.30,101.10,Justin,134.76
