Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,4,J. Allen QB - BUF ,39.66,B. Hall RB - NYJ ,11.90,J. Gibbs RB - DET ,11.30,S. Diggs WR - HOU ,19.40,A. Brown WR - PHI Q ,14.70,D. Schultz TE - HOU ,1.20,S. Barkley RB - PHI ,6.20,G. Joseph K - GB ,4.00,Chiefs DEF ,2.00,D. Henry RB - BAL ,20.60,C. Godwin WR - TB ,7.50,K. Williams RB - LA IA ,38.40,B. Purdy QB - SF IA ,10.46,S. LaPorta TE - DET Q ,17.70,J. Addison WR - MIN ,9.90,110.36,Ulises,112.48
Joshua,7,P. Mahomes QB - KC IA ,20.82,D. Swift RB - CHI IA ,9.40,J. Ford RB - CLE ,11.90,K. Allen WR - CHI IA ,22.60,D. Samuel WR - SF ,22.40,K. Pitts TE - ATL ,4.20,T. Dell WR - HOU IR ,17.20,J. Sanders K - MIA ,12.00,Eagles DEF ,2.00,L. Thomas TE - WAS ,3.50,C. Kupp WR - LA IA ,4.80,K. Murray QB - ARI ,20.44,T. McLaurin WR - WAS ,9.00,T. Higgins WR - CIN IA ,0.00,J. Cook RB - BUF ,16.00,122.52,Justin,107.40
Justin,5,J. Dobbs QB - SF ,4.50,G. Edwards RB - LAC ,4.70,J. Jacobs RB - GB IA ,22.50,C. Sutton WR - DEN Q ,9.10,C. Lamb WR - DAL ,17.30,C. Kmet TE - CHI Q ,11.30,B. Aiyuk WR - SF ,13.00,B. Aubrey K - DAL ,9.00,Cowboys DEF ,16.00,M. Andrews TE - BAL IR ,0.00,T. Pollard RB - TEN ,22.30,D. Singletary RB - NYG ,13.20,T. Tagovailoa QB - MIA ,7.82,J. Jefferson WR - MIN ,0.00,J. Warren RB - PIT ,7.20,107.40,Joshua,122.52
Luke,6,J. Hurts QB - PHI Q ,34.50,T. Etienne RB - JAX ,12.60,Z. Charbonnet RB - SEA ,9.80,D. Adams WR - LV ,12.30,G. Wilson WR - NYJ Q ,17.40,T. Kelce TE - KC IA ,15.10,N. Collins WR - HOU ,23.40,J. Myers K - SEA ,9.00,Ravens DEF ,15.00,J. Goff QB - DET ,18.18,A. Jones RB - MIN ,0.00,C. Kirk WR - JAX IA ,12.90,A. Mattison RB - LV ,8.30,J. Ferguson TE - DAL ,4.50,K. Walker RB - SEA ,0.00,149.10,Matthew,120.78
Matthew,1,L. Jackson QB - BAL IA ,14.98,J. Mixon RB - HOU ,8.00,B. Robinson RB - WAS ,8.40,M. Evans WR - TB ,25.00,T. Hill WR - MIA ,25.40,T. Hockenson TE - MIN IR ,16.00,R. White RB - TB ,13.00,J. Tucker K - BAL ,8.00,Bills DEF ,2.00,D. Hopkins WR - TEN ,7.90,T. Lockett WR - SEA ,6.00,D. Goedert TE - PHI ,0.00,J. Williams RB - DEN ,10.10,D. Smith WR - PHI IA ,23.60,C. Stroud QB - HOU ,30.86,120.78,Luke,149.10
Aiden,8,T. Lawrence QB - JAX ,24.56,A. Ekeler RB - WAS ,9.40,I. Pacheco RB - KC ,25.90,M. Pittman WR - IND ,20.70,A. St. Brown WR - DET ,18.50,G. Kittle TE - SF Q ,4.90,A. Cooper WR - CLE IA ,3.60,T. Bass K - BUF ,10.00,49ers DEF ,14.00,H. Henry TE - NE IR ,0.00,J. Conner RB - ARI ,7.20,M. Brown WR - KC IR ,14.80,Z. Moss RB - CIN ,9.00,S. Howell QB - SEA ,17.30,Vikings DEF ,11.00,131.56,Howard,111.18
Howard,3,J. Fields QB - PIT ,10.58,A. Kamara RB - NO IA ,15.90,J. Taylor RB - IND ,21.10,D. Moore WR - CHI ,22.40,J. Chase WR - CIN ,12.10,D. Njoku TE - CLE ,11.90,A. Thielen WR - CAR ,1.20,D. Hopkins K - CLE IA ,6.00,Steelers DEF ,10.00,D. Prescott QB - DAL ,32.24,C. Ridley WR - TEN ,21.90,D. Johnson WR - CAR ,9.00,N. Harris RB - PIT ,15.90,T. McBride TE - ARI ,13.00,B. Robinson RB - ATL ,27.30,111.18,Aiden,131.56
Ulises,2,J. Herbert QB - LAC IR ,13.38,R. Mostert RB - MIA IA ,21.40,C. McCaffrey RB - SF IA ,30.90,D. Metcalf WR - SEA ,6.20,P. Nacua WR - LA ,6.70,D. Kincaid TE - BUF ,8.80,D. Montgomery RB - DET ,15.10,H. Butker K - KC ,7.00,Browns DEF ,3.00,E. Engram TE - JAX ,9.90,J. Waddle WR - MIA IA ,19.40,R. Stevenson RB - NE IR ,21.70,C. Olave WR - NO ,18.40,Z. Flowers WR - BAL IA ,23.20,D. Achane RB - MIA ,0.00,112.48,Alex,110.36
