Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,2,J. Allen QB - BUF ,24.30,S. Barkley RB - PHI ,18.80,J. Gibbs RB - DET ,27.60,S. Diggs WR - HOU ,17.80,A. Brown WR - PHI Q ,29.70,S. LaPorta TE - DET Q ,11.20,J. Addison WR - MIN ,31.30,B. Maher K - LA ,3.00,Buccaneers DEF ,8.00,D. Henry RB - BAL ,0.00,J. Conner RB - ARI ,0.00,D. London WR - ATL ,11.40,C. Watson WR - GB IA ,5.70,K. Williams RB - LA IA ,0.00,B. Hall RB - NYJ ,0.00,171.70,Luke,123.36
Joshua,6,P. Mahomes QB - KC IA ,33.86,D. Swift RB - CHI IA ,10.50,T. Etienne RB - JAX ,22.70,C. Kupp WR - LA IA ,6.90,T. McLaurin WR - WAS ,15.00,D. Waller TE - NYG ,22.80,A. Dillon RB - GB IA ,11.50,Y. Koo K - ATL ,12.00,Eagles DEF ,10.00,L. Thomas TE - WAS ,9.10,D. Watson QB - CLE IR ,-1.80,D. Samuel WR - SF ,0.00,T. Higgins WR - CIN IA ,0.00,K. Pitts TE - ATL ,7.70,D. Pierce RB - HOU ,0.00,145.26,Aiden,109.32
Justin,7,J. Love QB - GB ,15.30,J. Williams RB - DEN ,12.60,J. Ford RB - CLE ,17.40,B. Aiyuk WR - SF ,10.70,G. Pickens WR - PIT ,15.70,T. Hockenson TE - MIN IR ,19.60,C. Samuel WR - BUF ,6.50,J. Elliott K - PHI ,7.00,Steelers DEF ,5.00,J. Mixon RB - HOU ,0.00,T. Pollard RB - TEN ,0.00,C. Kmet TE - CHI Q ,0.00,J. Burrow QB - CIN IR ,0.00,C. Lamb WR - DAL ,0.00,J. Jefferson WR - MIN ,0.00,109.80,Howard,160.48
Luke,5,J. Goff QB - DET ,9.36,A. Jones RB - MIN ,8.70,K. Walker RB - SEA ,13.10,D. Adams WR - LV ,12.70,D. Moore WR - CHI ,13.40,T. Kelce TE - KC IA ,35.90,M. Evans WR - TB ,20.20,J. Myers K - SEA ,8.00,Packers DEF ,2.00,A. Thielen WR - CAR ,0.00,D. Foreman RB - CLE IA ,33.00,A. Mattison RB - LV ,6.20,J. Fields QB - PIT ,0.00,G. Wilson WR - NYJ Q ,0.00,Z. Evans RB - LA ,0.00,123.36,Alex,171.70
Matthew,3,J. Hurts QB - PHI Q ,23.26,J. Cook RB - BUF ,19.20,B. Robinson RB - ATL ,0.30,K. Allen WR - CHI IA ,9.50,T. Lockett WR - SEA ,7.80,D. Goedert TE - PHI ,18.70,J. Taylor RB - IND ,21.00,J. Tucker K - BAL ,8.00,Bills DEF ,2.00,C. Ridley WR - TEN ,1.50,G. Davis WR - JAX Q ,1.60,J. Chase WR - CIN ,0.00,D. Smith WR - PHI IA ,8.90,B. Purdy QB - SF IA ,12.78,B. Robinson RB - WAS ,8.30,109.76,Ulises,120.56
Aiden,8,K. Cousins QB - ATL IR ,21.02,Z. Moss RB - CIN ,7.20,I. Pacheco RB - KC ,16.00,M. Pittman WR - IND ,16.30,A. St. Brown WR - DET ,23.20,G. Kittle TE - SF Q ,13.00,A. Ekeler RB - WAS ,5.60,T. Bass K - BUF ,5.00,49ers DEF ,2.00,A. Cooper WR - CLE IA ,4.20,H. Henry TE - NE IR ,4.70,C. Godwin WR - TB ,12.60,M. Brown WR - KC IR ,7.90,T. Lawrence QB - JAX ,18.06,T. Dell WR - HOU IR ,0.00,109.32,Joshua,145.26
Howard,1,L. Jackson QB - BAL IA ,33.88,A. Kamara RB - NO IA ,29.30,J. Jacobs RB - GB IA ,5.10,T. Hill WR - MIA ,25.80,C. Kirk WR - JAX IA ,19.00,M. Andrews TE - BAL IR ,22.30,E. Elliott RB - DAL ,9.10,M. Gay K - IND ,8.00,Seahawks DEF ,8.00,D. Schultz TE - HOU ,0.00,J. Wilson RB - MIA ,1.40,J. Meyers WR - LV ,18.00,T. Tagovailoa QB - MIA ,10.34,N. Collins WR - HOU ,0.00,R. White RB - TB ,15.90,160.48,Justin,109.80
Ulises,4,J. Herbert QB - LAC IR ,10.86,R. Mostert RB - MIA IA ,6.10,C. McCaffrey RB - SF IA ,22.60,C. Olave WR - NO ,12.70,P. Nacua WR - LA ,23.40,G. Everett TE - CHI Q ,11.60,J. Waddle WR - MIA IA ,12.30,H. Butker K - KC ,7.00,Browns DEF ,14.00,E. Engram TE - JAX ,9.50,D. Montgomery RB - DET ,0.00,R. Stevenson RB - NE IR ,14.50,E. Mitchell RB - SF ,-0.10,Z. Flowers WR - BAL IA ,11.50,D. Achane RB - MIA ,0.00,120.56,Matthew,109.76
