Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,3,J. Allen QB - BUF ,22.50,B. Hall RB - NYJ ,18.30,J. Gibbs RB - DET ,21.50,S. Diggs WR - HOU ,6.70,A. Brown WR - PHI Q ,1.80,S. LaPorta TE - DET Q ,6.80,D. Henry RB - BAL ,5.40,G. Joseph K - GB ,8.00,Jaguars DEF ,7.00,C. Godwin WR - TB ,9.90,D. Schultz TE - HOU ,11.20,S. Barkley RB - PHI ,30.00,K. Williams RB - LA IA ,0.00,B. Purdy QB - SF IA ,26.72,J. Addison WR - MIN ,7.40,98.00,Justin,123.70
Joshua,6,P. Mahomes QB - KC IA ,16.88,D. Swift RB - CHI IA ,19.70,J. Cook RB - BUF ,19.20,K. Allen WR - CHI IA ,27.60,C. Kupp WR - LA IA ,2.10,L. Thomas TE - WAS ,8.80,T. Dell WR - HOU IR ,28.90,J. Sanders K - MIA ,10.00,Eagles DEF ,6.00,K. Murray QB - ARI ,21.66,T. McLaurin WR - WAS ,9.30,D. Samuel WR - SF ,9.20,T. Higgins WR - CIN IA ,0.00,K. Pitts TE - ATL ,0.00,J. Ford RB - CLE ,11.90,139.18,Luke,97.00
Justin,5,T. Tagovailoa QB - MIA ,17.60,J. Jacobs RB - GB IA ,6.10,N. Harris RB - PIT ,4.60,C. Lamb WR - DAL ,16.50,B. Aiyuk WR - SF ,26.60,M. Andrews TE - BAL IR ,4.30,T. Pollard RB - TEN ,18.00,B. Aubrey K - DAL ,9.00,Cowboys DEF ,21.00,J. Dobbs QB - SF ,16.94,C. Sutton WR - DEN Q ,16.60,G. Edwards RB - LAC ,21.00,D. Singletary RB - NYG ,19.80,C. Kmet TE - CHI Q ,5.00,J. Jefferson WR - MIN ,0.00,123.70,Alex,98.00
Luke,7,J. Hurts QB - PHI Q ,18.90,A. Jones RB - MIN ,2.70,K. Walker RB - SEA ,2.60,M. Evans WR - TB ,15.30,G. Wilson WR - NYJ Q ,0.90,T. Kelce TE - KC IA ,15.40,D. Adams WR - LV ,21.20,J. Myers K - SEA ,14.00,Ravens DEF ,6.00,A. Thielen WR - CAR ,15.40,J. Goff QB - DET ,13.74,D. Foreman RB - CLE IA ,7.40,A. Mattison RB - LV ,7.00,J. Ferguson TE - DAL ,6.20,G. Pickens WR - PIT ,7.70,97.00,Joshua,139.18
Matthew,1,D. Prescott QB - DAL ,16.16,J. Mixon RB - HOU ,21.00,B. Robinson RB - WAS ,20.20,T. Hill WR - MIA ,30.60,J. Chase WR - CIN ,9.20,T. McBride TE - ARI ,9.30,D. Smith WR - PHI IA ,15.90,J. Tucker K - BAL ,10.00,Bills DEF ,21.00,D. Hopkins WR - TEN ,15.90,C. Ridley WR - TEN ,31.10,D. Goedert TE - PHI ,0.00,J. Taylor RB - IND ,0.00,B. Robinson RB - ATL ,0.00,C. Stroud QB - HOU ,15.34,153.36,Aiden,115.04
Aiden,8,S. Howell QB - SEA ,17.74,A. Ekeler RB - WAS ,7.00,I. Pacheco RB - KC ,10.10,A. Cooper WR - CLE IA ,7.40,A. St. Brown WR - DET ,21.70,G. Kittle TE - SF Q ,22.90,M. Brown WR - KC IR ,3.20,T. Bass K - BUF ,16.00,49ers DEF ,9.00,H. Henry TE - NE IR ,0.00,J. Conner RB - ARI ,8.30,Z. Moss RB - CIN ,0.00,M. Pittman WR - IND ,0.00,T. Lawrence QB - JAX ,32.18,Vikings DEF ,2.00,115.04,Matthew,153.36
Howard,2,L. Jackson QB - BAL IA ,23.96,J. Williams RB - DEN ,7.30,T. Etienne RB - JAX ,8.90,C. Kirk WR - JAX IA ,7.80,D. Moore WR - CHI ,22.60,T. Hockenson TE - MIN IR ,9.50,R. White RB - TB ,17.80,D. Hopkins K - CLE IA ,7.00,Steelers DEF ,7.00,D. Njoku TE - CLE ,12.60,A. Kamara RB - NO IA ,0.00,N. Brown WR - HOU IA ,0.00,D. Johnson WR - CAR ,3.60,N. Collins WR - HOU ,13.50,R. Moore WR - ATL ,12.40,111.86,Ulises,125.90
Ulises,4,J. Herbert QB - LAC IR ,25.70,R. Mostert RB - MIA IA ,10.30,C. McCaffrey RB - SF IA ,21.30,J. Waddle WR - MIA IA ,9.50,P. Nacua WR - LA ,18.70,D. Kincaid TE - BUF ,10.60,D. Montgomery RB - DET ,17.80,H. Butker K - KC ,5.00,Browns DEF ,7.00,E. Engram TE - JAX ,6.90,D. Metcalf WR - SEA ,20.40,R. Stevenson RB - NE IR ,0.00,C. Olave WR - NO ,0.00,Z. Flowers WR - BAL IA ,8.00,D. Achane RB - MIA ,1.50,125.90,Howard,111.86
