Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,2,J. Allen QB - BUF ,14.38,S. Barkley RB - PHI ,7.10,B. Hall RB - NYJ ,10.50,S. Diggs WR - HOU ,6.40,C. Godwin WR - TB ,9.40,S. LaPorta TE - DET Q ,8.00,D. Henry RB - BAL ,3.00,M. Gay K - IND ,6.00,Saints DEF ,1.00,D. Schultz TE - HOU ,11.10,A. Brown WR - PHI Q ,0.00,D. London WR - ATL ,6.60,K. Williams RB - LA IA ,0.00,J. Gibbs RB - DET ,26.20,J. Addison WR - MIN ,10.90,65.78,Howard,118.72
Joshua,7,K. Murray QB - ARI ,17.26,J. Cook RB - BUF ,12.00,J. Ford RB - CLE ,11.90,K. Allen WR - CHI IA ,40.50,T. Dell WR - HOU IR ,18.90,K. Pitts TE - ATL ,6.00,D. Samuel WR - SF ,15.90,Y. Koo K - ATL ,5.00,Seahawks DEF ,5.00,C. Kupp WR - LA IA ,0.00,P. Mahomes QB - KC IA ,0.00,T. McLaurin WR - WAS ,7.30,T. Higgins WR - CIN IA ,0.00,D. Swift RB - CHI IA ,0.00,Eagles DEF ,0.00,132.46,Matthew,145.66
Justin,5,J. Burrow QB - CIN IR ,19.88,J. Jacobs RB - GB IA ,12.70,T. Pollard RB - TEN ,5.50,C. Lamb WR - DAL ,39.50,B. Aiyuk WR - SF ,14.50,M. Andrews TE - BAL IR ,6.40,N. Harris RB - PIT ,18.60,B. Aubrey K - DAL ,7.00,Cowboys DEF ,8.00,G. Edwards RB - LAC ,9.80,J. Meyers WR - LV ,4.10,C. Kmet TE - CHI Q ,9.60,T. Tagovailoa QB - MIA ,0.00,J. Jefferson WR - MIN ,0.00,J. Elliott K - PHI ,0.00,132.08,Ulises,158.72
Luke,6,J. Goff QB - DET ,21.12,A. Jones RB - MIN ,9.40,A. Mattison RB - LV ,4.30,A. Thielen WR - CAR ,10.20,G. Wilson WR - NYJ Q ,18.30,J. Ferguson TE - DAL ,12.60,M. Evans WR - TB ,26.30,J. Myers K - SEA ,17.00,Ravens DEF ,14.00,T. Kelce TE - KC IA ,0.00,D. Adams WR - LV ,14.60,D. Foreman RB - CLE IA ,17.20,J. Hurts QB - PHI Q ,0.00,G. Pickens WR - PIT ,7.50,K. Walker RB - SEA ,19.70,133.22,Aiden,117.10
Matthew,3,D. Prescott QB - DAL ,37.86,J. Mixon RB - HOU ,12.50,J. Taylor RB - IND ,14.50,D. Hopkins WR - TEN ,5.70,J. Chase WR - CIN ,23.40,T. McBride TE - ARI ,21.10,B. Robinson RB - ATL ,17.60,J. Tucker K - BAL ,7.00,Bills DEF ,6.00,T. Hill WR - MIA ,0.00,C. Ridley WR - TEN ,4.00,D. Goedert TE - PHI ,0.00,D. Smith WR - PHI IA ,0.00,B. Robinson RB - WAS ,27.70,C. Stroud QB - HOU ,19.04,145.66,Joshua,132.46
Aiden,8,T. Lawrence QB - JAX ,2.10,A. Ekeler RB - WAS ,21.50,Z. Moss RB - CIN ,0.20,M. Pittman WR - IND ,16.40,A. St. Brown WR - DET ,30.50,G. Kittle TE - SF Q ,20.60,M. Brown WR - KC IR ,3.80,T. Bass K - BUF ,2.00,49ers DEF ,20.00,A. Cooper WR - CLE IA ,15.80,H. Henry TE - NE IR ,5.10,J. Conner RB - ARI ,7.30,I. Pacheco RB - KC ,0.00,S. Howell QB - SEA ,24.18,Vikings DEF ,8.00,117.10,Luke,133.22
Howard,1,L. Jackson QB - BAL IA ,13.02,A. Kamara RB - NO IA ,18.50,R. White RB - TB ,17.80,D. Moore WR - CHI ,10.90,D. Johnson WR - CAR ,2.70,T. Hockenson TE - MIN IR ,30.40,T. Etienne RB - JAX ,6.40,D. Hopkins K - CLE IA ,13.00,Steelers DEF ,6.00,T. Hill TE - NO ,4.30,C. Kirk WR - JAX IA ,14.40,J. Wilson RB - MIA ,0.00,J. Williams RB - DEN ,21.00,N. Collins WR - HOU ,0.00,K. Shakir WR - BUF ,3.40,118.72,Alex,65.78
Ulises,4,J. Herbert QB - LAC IR ,28.42,C. McCaffrey RB - SF IA ,20.20,R. Stevenson RB - NE IR ,13.20,D. Metcalf WR - SEA ,16.80,C. Olave WR - NO ,21.40,D. Kincaid TE - BUF ,16.10,D. Montgomery RB - DET ,17.60,D. Carlson K - LV ,12.00,Browns DEF ,13.00,R. Mostert RB - MIA IA ,0.00,E. Engram TE - JAX ,5.20,J. Waddle WR - MIA IA ,0.00,Z. Flowers WR - BAL IA ,12.30,P. Nacua WR - LA ,0.00,D. Achane RB - MIA ,0.00,158.72,Justin,132.08
