Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,4,J. Burrow QB - CIN ,23.00,A. Ekeler RB - LAC ,13.30,S. Barkley RB - NYG ,22.60,S. Diggs WR - BUF ,14.40,D. Samuel WR - SF ,12.90,G. Kittle TE - SF ,6.80,T. McLaurin WR - WAS ,16.20,C. Boswell K - PIT ,5.00,Ravens DEF ,11.00,K. Cousins QB - MIN ,18.30,C. Patterson RB - ATL ,22.30,H. Renfrow WR - LV ,0.00,C. Olave WR - NO ,23.70,B. Hall RB - NYJ IR ,15.20,Packers DEF ,11.00,125.20,Ulises,110.56
Joshua,8,M. Stafford QB - LA IR ,10.16,J. Taylor RB - IND IR ,12.10,A. Gibson RB - WAS IR ,11.00,D. Johnson WR - PIT ,16.40,T. Higgins WR - CIN ,14.30,T. Kelce TE - KC ,17.90,M. Thomas WR - NO IR ,9.90,A. Seibert K Q ,6.00,Bills DEF ,4.00,D. Hopkins WR - ARI Q ,0.00,C. Godwin WR - TB ,0.00,M. Williams WR - LAC Q ,8.50,C. Edmonds RB - TB ,15.70,M. Gesicki TE - NE ,1.60,J. Jacobs RB - LV ,14.70,101.76,Aiden,107.70
Justin,3,J. Herbert QB - LAC Q ,12.58,D. Henry RB - TEN ,25.30,D. Swift RB - PHI ,7.60,J. Chase WR - CIN ,12.70,G. Wilson WR - NYJ ,12.00,Z. Ertz TE - ARI IR ,10.50,A. Thielen WR - CAR ,18.10,R. Succop K - TB ,6.00,Steelers DEF ,2.00,M. Evans WR - TB ,0.00,D. Goedert TE - PHI ,11.60,M. Sanders RB - CAR ,5.40,T. Tagovailoa QB - MIA ,11.44,B. Aiyuk WR - SF ,12.90,P. Freiermuth TE - PIT Q ,6.10,106.78,Matthew,128.80
Luke,6,P. Mahomes QB - KC ,17.08,L. Fournette RB - TB ,12.00,N. Harris RB - PIT ,13.10,D. Adams WR - LV ,14.20,C. Kirk WR - JAX Q ,19.20,D. Waller TE - NYG ,5.20,R. Bateman WR - BAL IR ,5.90,D. Hopkins K - LAC IR ,4.00,Eagles DEF ,18.00,K. Allen WR - LAC ,0.00,K. Hunt RB - CLE ,9.10,A. Lazard WR - NYJ ,14.50,M. Brown WR - ARI ,28.00,A. Dillon RB - GB ,5.80,J. Dotson WR - WAS ,3.00,108.68,Howard,115.92
Matthew,1,J. Hurts QB - PHI ,27.60,E. Elliott RB - DAL ,14.50,A. Jones RB - GB ,5.70,C. Kupp WR - LA IR ,16.40,A. St. Brown WR - DET ,13.30,M. Andrews TE - BAL ,28.90,J. Jefferson WR - MIN ,4.40,D. Carlson K - LV ,10.00,49ers DEF ,8.00,A. Rodgers QB - NYJ ,16.10,T. Lockett WR - SEA ,16.60,A. Cooper WR - CLE ,23.10,D. Harris RB - BUF ,12.60,G. Davis WR - BUF ,6.70,M. Carter RB - NYJ ,5.60,128.80,Justin,106.78
Aiden,7,J. Allen QB - BUF ,26.70,J. Mixon RB - CIN ,6.80,D. Cook RB - MIN ,13.60,B. Cooks WR - DAL ,4.20,A. Brown WR - PHI ,19.50,G. Everett TE - LAC ,4.50,D. Metcalf WR - SEA ,17.40,J. Tucker K - BAL ,9.00,Rams DEF ,6.00,R. Woods WR - HOU ,12.50,J. Conner RB - ARI Q ,8.70,T. Hockenson TE - MIN ,10.80,J. Dobbins RB - BAL ,6.00,E. Moore WR - CLE ,8.90,T. Lance QB - SF IR ,0.00,107.70,Joshua,101.76
Howard,5,L. Jackson QB - BAL Q ,39.42,D. Montgomery RB - DET ,1.10,C. Edwards-Helaire RB - KC IA ,14.90,T. Hill WR - MIA ,5.30,D. London WR - ATL ,14.40,K. Pitts TE - ATL IR ,13.70,C. Samuel WR - WAS ,13.10,B. McManus K - DEN ,5.00,Jaguars DEF ,9.00,R. Wilson QB - DEN ,9.06,A. Kamara RB - NO ,7.30,D. Schultz TE - HOU ,0.00,J. Jeudy WR - DEN ,3.70,T. Etienne RB - JAX ,10.50,J. Mason RB - SF ,0.70,115.92,Luke,108.68
Ulises,2,K. Murray QB - ARI IR ,13.36,C. McCaffrey RB - SF ,13.50,N. Chubb RB - CLE ,17.30,M. Pittman WR - IND ,15.20,J. Waddle WR - MIA ,15.10,T. Higbee TE - LA ,10.10,J. Williams RB - DEN IR ,9.00,Y. Koo K - ATL ,11.00,Buccaneers DEF ,6.00,C. Wentz QB - WAS ,8.64,J. Smith-Schuster WR - NE ,13.90,D. Moore WR - CHI ,2.50,C. Sutton WR - DEN ,17.70,C. Lamb WR - DAL ,22.70,J. Robinson RB - NE ,20.60,110.56,Alex,125.20
