Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,2,J. Burrow QB - CIN ,30.04,A. Ekeler RB - LAC ,13.20,J. Jacobs RB - LV ,21.00,S. Diggs WR - BUF ,22.20,C. Olave WR - NO ,10.50,G. Kittle TE - SF ,4.20,S. Barkley RB - NYG ,19.10,J. Myers K - SEA ,9.00,Ravens DEF ,6.00,L. Murray RB - BUF ,10.10,Z. Jones WR - JAX ,3.60,D. Samuel WR - SF ,12.30,A. Gibson RB - WAS IR ,7.90,D. Smith WR - PHI ,21.20,Cardinals DEF ,0.00,135.24,Matthew,156.40
Joshua,6,L. Jackson QB - BAL Q ,1.34,D. Singletary RB - HOU ,11.10,J. Taylor RB - IND IR ,13.30,C. Godwin WR - TB ,14.30,T. Higgins WR - CIN ,12.50,P. Freiermuth TE - PIT Q ,10.60,T. Etienne RB - JAX ,7.60,R. Gould K - SF ,15.00,Bills DEF ,5.00,T. Lockett WR - SEA ,27.80,D. Watson QB - CLE ,5.34,T. Hill TE - NO ,13.34,D. Johnson WR - PIT ,11.00,T. Lawrence QB - JAX ,16.36,N. Harris RB - PIT ,10.20,90.74,Howard,64.74
Justin,4,J. Fields QB - CHI Q ,19.26,D. Henry RB - TEN ,5.80,M. Sanders RB - CAR ,11.80,C. Kirk WR - JAX Q ,16.40,J. Chase WR - CIN ,16.70,H. Hurst TE - CAR ,3.20,C. Watson WR - GB ,24.40,N. Folk K - NE ,4.00,Cowboys DEF ,20.00,D. Hopkins WR - ARI Q ,0.00,M. Evans WR - TB ,9.90,D. Goedert TE - PHI ,0.00,D. Swift RB - PHI ,21.10,J. Herbert QB - LAC Q ,18.10,B. Robinson RB - WAS Q ,13.10,121.56,Ulises,169.90
Luke,3,P. Mahomes QB - KC ,19.82,R. Stevenson RB - NE ,13.80,K. Walker RB - SEA ,3.60,D. Adams WR - LV ,37.70,A. Cooper WR - CLE ,8.00,D. Schultz TE - HOU ,5.30,B. Aiyuk WR - SF ,9.60,B. Maher K - DAL ,6.00,Eagles DEF ,10.00,K. Allen WR - LAC ,20.80,A. Thielen WR - CAR ,4.70,L. Fournette RB - TB ,14.10,T. Tagovailoa QB - MIA ,13.80,M. Carter RB - NYJ ,0.00,R. White RB - TB ,16.90,113.82,Aiden,136.62
Matthew,1,J. Hurts QB - PHI ,34.40,A. Jones RB - GB ,10.00,N. Chubb RB - CLE ,8.00,J. Jefferson WR - MIN ,18.60,G. Wilson WR - NYJ ,24.20,T. Kelce TE - KC ,7.60,T. Pollard RB - DAL Q ,24.60,D. Carlson K - LV ,11.00,49ers DEF ,18.00,C. Kupp WR - LA IR ,0.00,D. Foreman RB - CHI ,0.00,D. Moore WR - CHI ,0.00,M. Brown WR - ARI ,0.00,D. Montgomery RB - DET ,16.70,G. Davis WR - BUF ,9.50,156.40,Alex,135.24
Aiden,7,J. Allen QB - BUF ,16.92,D. Cook RB - MIN ,16.30,S. Perine RB - DEN ,21.50,T. Boyd WR - CIN Q ,10.00,A. Brown WR - PHI ,31.90,T. Hockenson TE - MIN ,7.30,D. Metcalf WR - SEA ,26.70,J. Tucker K - BAL ,4.00,Jets DEF ,2.00,G. Smith QB - SEA ,22.98,R. Mostert RB - MIA Q ,3.00,J. Mixon RB - CIN ,0.00,A. Lazard WR - NYJ ,11.70,J. Robinson RB - NE ,1.00,T. Bass K - BUF ,6.00,136.62,Luke,113.82
Howard,8,J. Garoppolo QB - LV Q ,2.24,A. Kamara RB - NO ,5.70,J. Williams RB - NO ,9.50,J. Smith-Schuster WR - NE ,6.50,T. McLaurin WR - WAS ,24.50,D. Njoku TE - CLE ,0.00,J. Wilson RB - MIA ,0.30,C. McLaughlin K - TB ,9.00,Commanders DEF ,7.00,C. Patterson RB - ATL ,6.00,C. Samuel WR - WAS ,14.60,M. Williams WR - LAC Q ,0.00,K. Murray QB - ARI IR ,0.00,C. Kmet TE - CHI ,13.20,D. Peoples-Jones WR - CLE ,13.40,64.74,Joshua,90.74
Ulises,5,D. Prescott QB - DAL ,16.80,C. McCaffrey RB - SF ,28.60,D. Pierce RB - HOU IR ,12.50,T. Hill WR - MIA ,29.60,A. St. Brown WR - DET ,34.60,M. Andrews TE - BAL ,9.40,C. Lamb WR - DAL ,20.40,Y. Koo K - ATL ,14.00,Patriots DEF ,4.00,E. Elliott RB - DAL ,18.10,J. Conner RB - ARI Q ,0.00,M. Pittman WR - IND ,3.60,J. Waddle WR - MIA ,1.90,G. Dulcich TE - DEN IR ,14.50,G. Pickens WR - PIT ,1.20,169.90,Justin,121.56
