Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,2,J. Burrow QB - CIN ,32.50,A. Ekeler RB - LAC ,24.30,S. Barkley RB - NYG ,18.50,S. Diggs WR - BUF ,30.80,D. Samuel WR - SF ,16.00,G. Kittle TE - SF ,16.30,B. Hall RB - NYJ IR ,20.10,G. Joseph K - MIN ,4.00,Packers DEF ,2.00,A. Rodgers QB - NYJ ,11.84,C. Patterson RB - ATL ,0.00,T. McLaurin WR - WAS ,8.20,D. Smith WR - PHI ,15.40,C. Olave WR - NO ,0.00,Ravens DEF ,6.00,164.50,Matthew,109.50
Joshua,6,L. Jackson QB - BAL Q ,16.10,R. Mostert RB - MIA Q ,5.80,D. Singletary RB - HOU ,14.70,C. Godwin WR - TB ,15.50,D. Johnson WR - PIT ,8.60,T. Kelce TE - KC ,19.20,T. Higgins WR - CIN ,10.70,M. Crosby K - GB ,4.00,Bills DEF ,8.00,M. Stafford QB - LA IR ,11.82,M. Thomas WR - NO IR ,0.00,M. Williams WR - LAC Q ,3.70,J. Taylor RB - IND IR ,0.00,A. Gibson RB - WAS IR ,8.30,K. Pitts TE - ATL IR ,10.90,102.60,Howard,89.46
Justin,3,J. Herbert QB - LAC Q ,8.42,J. Wilson RB - MIA ,0.50,M. Sanders RB - CAR ,14.20,M. Evans WR - TB ,8.20,J. Chase WR - CIN ,32.20,Z. Ertz TE - ARI IR ,14.00,G. Wilson WR - NYJ ,1.80,R. Succop K - TB ,14.00,Cowboys DEF ,4.00,A. Thielen WR - CAR ,15.60,D. Henry RB - TEN ,0.00,D. Goedert TE - PHI ,4.20,D. Swift RB - PHI ,0.00,P. Freiermuth TE - PIT Q ,0.00,K. Pickett QB - PIT ,8.28,97.32,Ulises,87.38
Luke,5,P. Mahomes QB - KC ,19.62,L. Fournette RB - TB ,22.10,K. Walker RB - SEA ,19.00,A. Lazard WR - NYJ ,17.60,M. Brown WR - ARI ,11.80,D. Njoku TE - CLE ,8.80,R. Stevenson RB - NE ,25.10,B. Maher K - DAL ,5.00,Eagles DEF ,7.00,K. Allen WR - LAC ,0.00,D. Adams WR - LV ,0.00,D. Waller TE - NYG ,0.00,K. Hunt RB - CLE ,1.20,C. Kirk WR - JAX Q ,10.80,N. Harris RB - PIT ,12.90,136.02,Aiden,110.86
Matthew,1,J. Hurts QB - PHI ,16.90,A. Jones RB - GB ,7.40,E. Benjamin RB - NO ,9.50,C. Kupp WR - LA IR ,16.70,J. Jefferson WR - MIN ,16.70,M. Andrews TE - BAL ,23.60,T. Lockett WR - SEA ,3.70,J. Myers K - SEA ,13.00,49ers DEF ,2.00,M. Gordon RB - KC ,0.80,A. Cooper WR - CLE ,14.40,E. Elliott RB - DAL ,15.60,G. Davis WR - BUF ,16.40,A. St. Brown WR - DET ,0.00,D. Carlson K - LV ,0.00,109.50,Alex,164.50
Aiden,7,J. Allen QB - BUF ,26.36,J. Mixon RB - CIN ,16.80,D. Cook RB - MIN ,15.30,A. Brown WR - PHI ,17.70,D. Duvernay WR - BAL IR ,2.40,G. Everett TE - LAC ,7.90,D. Metcalf WR - SEA ,5.40,J. Tucker K - BAL ,8.00,Rams DEF ,11.00,G. Smith QB - SEA ,12.68,R. Woods WR - HOU ,0.00,B. Cooks WR - DAL ,0.00,J. Conner RB - ARI Q ,0.00,T. Hockenson TE - MIN ,0.00,J. Dobbins RB - BAL ,1.50,110.86,Luke,136.02
Howard,8,T. Brady QB - TB ,13.72,A. Kamara RB - NO ,18.40,C. Edwards-Helaire RB - KC IA ,3.30,T. Hill WR - MIA ,29.70,G. Pickens WR - PIT ,5.80,T. Hill TE - NO ,4.54,D. Montgomery RB - DET ,9.00,G. Gano K - NYG ,6.00,Jaguars DEF ,-1.00,D. Hopkins WR - ARI Q ,0.00,C. Samuel WR - WAS ,2.60,J. Reynolds WR - DET ,0.00,J. Jacobs RB - LV ,0.00,J. Meyers WR - LV ,10.00,D. London WR - ATL ,7.00,89.46,Joshua,102.60
Ulises,4,K. Murray QB - ARI IR ,14.88,C. McCaffrey RB - SF ,22.80,N. Chubb RB - CLE ,8.00,C. Sutton WR - DEN ,3.40,J. Waddle WR - MIA ,16.90,T. Higbee TE - LA ,1.70,C. Lamb WR - DAL ,12.70,Y. Koo K - ATL ,4.00,Buccaneers DEF ,3.00,C. Wentz QB - WAS ,4.16,M. Pittman WR - IND ,26.40,J. Robinson RB - NE ,6.50,R. Doubs WR - GB ,6.10,D. Pierce RB - HOU IR ,0.00,B. Robinson RB - WAS Q ,12.00,87.38,Justin,97.32
