Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,2,J. Burrow QB - CIN ,18.00,A. Ekeler RB - LAC ,25.00,S. Barkley RB - NYG ,15.20,S. Diggs WR - BUF ,21.70,D. Samuel WR - SF ,7.30,G. Kittle TE - SF ,5.60,J. Jacobs RB - LV ,48.30,J. Myers K - SEA ,10.00,Ravens DEF ,5.00,L. Murray RB - BUF ,10.80,J. Jeudy WR - DEN ,0.00,A. Gibson RB - WAS IR ,8.40,D. Smith WR - PHI ,9.00,C. Olave WR - NO ,11.20,Cardinals DEF ,4.00,156.10,Aiden,133.32
Joshua,6,L. Jackson QB - BAL Q ,23.06,D. Singletary RB - HOU ,9.00,J. Taylor RB - IND IR ,18.80,C. Godwin WR - TB ,29.00,T. Higgins WR - CIN ,24.40,P. Freiermuth TE - PIT Q ,6.90,T. Etienne RB - JAX ,0.30,R. Gould K - SF ,7.00,Bills DEF ,8.00,T. Lockett WR - SEA ,15.80,D. Watson QB - CLE ,0.00,T. Hill TE - NO ,3.00,D. Johnson WR - PIT ,9.90,T. Lawrence QB - JAX ,24.94,N. Harris RB - PIT ,10.90,126.46,Luke,135.30
Justin,4,D. Carr QB - NO ,20.80,D. Henry RB - TEN ,14.70,M. Sanders RB - CAR ,31.00,D. Hopkins WR - ARI Q ,18.70,C. Kirk WR - JAX Q ,8.10,J. Johnson TE - NO ,0.00,C. Watson WR - GB ,21.00,N. Folk K - NE ,14.00,Cowboys DEF ,4.00,M. Evans WR - TB ,5.10,K. Drake RB - BAL ,0.20,D. Goedert TE - PHI ,0.00,D. Swift RB - PHI ,10.30,J. Fields QB - CHI Q ,0.00,J. Chase WR - CIN ,0.00,132.30,Howard,99.04
Luke,3,P. Mahomes QB - KC ,18.40,R. Stevenson RB - NE ,20.20,K. Walker RB - SEA ,16.90,D. Adams WR - LV ,14.40,A. Cooper WR - CLE ,16.40,D. Schultz TE - HOU ,19.10,R. White RB - TB ,19.90,B. Maher K - DAL ,4.00,Eagles DEF ,6.00,K. Allen WR - LAC ,15.90,A. Thielen WR - CAR ,21.10,L. Fournette RB - TB ,0.00,T. Tagovailoa QB - MIA ,15.96,B. Aiyuk WR - SF ,11.50,M. Carter RB - NYJ ,5.60,135.30,Joshua,126.46
Matthew,1,J. Hurts QB - PHI ,29.82,A. Jones RB - GB ,18.90,N. Chubb RB - CLE ,20.20,J. Jefferson WR - MIN ,29.34,J. Palmer WR - LAC ,10.60,T. Kelce TE - KC ,15.70,T. Pollard RB - DAL Q ,8.10,D. Carlson K - LV ,10.00,49ers DEF ,15.00,C. Kupp WR - LA IR ,0.00,D. Foreman RB - CHI ,11.30,D. Moore WR - CHI ,20.30,M. Brown WR - ARI ,10.60,D. Montgomery RB - DET ,14.30,G. Davis WR - BUF ,7.80,157.66,Ulises,110.94
Aiden,7,J. Allen QB - BUF ,29.92,D. Cook RB - MIN ,9.60,S. Perine RB - DEN ,19.30,T. Boyd WR - CIN Q ,3.60,A. Brown WR - PHI ,12.60,T. Hockenson TE - MIN ,15.30,D. Metcalf WR - SEA ,20.00,J. Tucker K - BAL ,15.00,Jets DEF ,8.00,G. Smith QB - SEA ,19.32,R. Mostert RB - MIA Q ,0.00,J. Mixon RB - CIN ,0.00,A. Lazard WR - NYJ ,4.40,J. Robinson RB - NE ,0.00,T. Bass K - BUF ,8.00,133.32,Alex,156.10
Howard,8,K. Murray QB - ARI IR ,25.24,A. Kamara RB - NO ,7.00,J. Williams RB - NO ,10.60,J. Smith-Schuster WR - NE ,6.80,T. McLaurin WR - WAS ,9.30,D. Njoku TE - CLE ,13.90,J. Wilson RB - MIA ,12.20,C. McLaughlin K - TB ,7.00,Commanders DEF ,7.00,C. Patterson RB - ATL ,10.10,J. Garoppolo QB - LV Q ,13.28,C. Samuel WR - WAS ,1.30,M. Williams WR - LAC Q ,0.00,C. Kmet TE - CHI ,5.70,D. Peoples-Jones WR - CLE ,3.60,99.04,Justin,132.30
Ulises,5,D. Prescott QB - DAL ,14.84,J. Conner RB - ARI Q ,21.00,C. McCaffrey RB - SF ,8.90,T. Hill WR - MIA ,15.00,C. Lamb WR - DAL ,17.70,M. Andrews TE - BAL ,11.00,J. Waddle WR - MIA ,13.50,Y. Koo K - ATL ,7.00,Patriots DEF ,2.00,E. Elliott RB - DAL ,16.50,M. Pittman WR - IND ,19.10,A. St. Brown WR - DET ,27.90,G. Dulcich TE - DEN IR ,3.10,D. Pierce RB - HOU IR ,4.60,G. Pickens WR - PIT ,10.70,110.94,Matthew,157.66
