Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,2,J. Burrow QB - CIN ,0.00,A. Ekeler RB - LAC ,32.10,S. Barkley RB - NYG ,7.30,S. Diggs WR - BUF ,0.00,D. Smith WR - PHI ,20.50,G. Kittle TE - SF ,12.30,B. Robinson RB - WAS Q ,8.70,J. Myers K - SEA ,11.00,Jaguars DEF ,17.00,J. McKinnon RB - KC ,22.60,Z. Jones WR - JAX ,5.40,J. Jacobs RB - LV ,19.50,D. Samuel WR - SF ,0.00,C. Olave WR - NO ,8.20,Ravens DEF ,3.00,108.90,Justin,64.10
Joshua,6,T. Lawrence QB - JAX ,4.48,T. Etienne RB - JAX ,23.00,N. Harris RB - PIT ,20.30,T. Higgins WR - CIN ,0.00,D. London WR - ATL ,9.70,P. Freiermuth TE - PIT Q ,6.60,C. Godwin WR - TB ,21.00,R. Gould K - SF ,13.00,Bills DEF ,0.00,T. Lockett WR - SEA ,3.50,D. Watson QB - CLE ,21.86,D. Johnson WR - PIT ,5.50,D. Knox TE - BUF ,0.00,D. Singletary RB - HOU ,0.00,Z. Moss RB - IND ,7.40,98.08,Luke,129.12
Justin,4,J. Fields QB - CHI Q ,16.20,M. Sanders RB - CAR ,6.10,T. Allgeier RB - ATL ,16.50,C. Kirk WR - JAX Q ,4.10,J. Chase WR - CIN ,0.00,T. Higbee TE - LA ,4.10,C. Watson WR - GB ,2.10,N. Folk K - NE ,5.00,Cowboys DEF ,10.00,D. Hopkins WR - ARI Q ,0.00,M. Evans WR - TB ,48.70,D. Henry RB - TEN ,0.00,D. Swift RB - PHI ,27.70,J. Johnson TE - NO ,11.20,J. Herbert QB - LAC Q ,16.68,64.10,Alex,108.90
Luke,5,P. Mahomes QB - KC ,25.52,L. Fournette RB - TB ,8.70,R. Stevenson RB - NE ,7.10,K. Allen WR - LAC ,11.80,D. Adams WR - LV ,34.30,D. Goedert TE - PHI ,7.50,K. Walker RB - SEA ,15.20,B. Maher K - DAL ,9.00,Eagles DEF ,10.00,A. Cooper WR - CLE ,25.50,J. Dobbins RB - BAL ,9.30,T. Tagovailoa QB - MIA ,0.00,B. Aiyuk WR - SF ,26.70,B. Knight RB - NYJ ,6.40,R. White RB - TB ,9.80,129.12,Joshua,98.08
Matthew,1,K. Cousins QB - MIN ,7.90,A. Jones RB - GB ,13.30,N. Chubb RB - CLE ,12.60,J. Jefferson WR - MIN ,2.50,G. Wilson WR - NYJ ,4.80,T. Kelce TE - KC ,11.30,D. Montgomery RB - DET ,5.60,D. Carlson K - LV ,12.00,49ers DEF ,3.00,C. Kupp WR - LA IR ,0.00,D. Foreman RB - CHI ,3.50,D. Moore WR - CHI ,23.70,M. Brown WR - ARI ,12.10,T. Pollard RB - DAL Q ,0.00,J. Hurts QB - PHI ,0.00,73.00,Ulises,145.58
Aiden,7,J. Allen QB - BUF ,0.00,J. Mixon RB - CIN ,0.00,D. Cook RB - MIN ,6.40,J. Smith-Schuster WR - NE ,4.10,A. Brown WR - PHI ,19.70,T. Hockenson TE - MIN ,12.90,D. Metcalf WR - SEA ,1.30,J. Tucker K - BAL ,9.00,Jets DEF ,4.00,G. Smith QB - SEA ,17.12,R. Mostert RB - MIA Q ,23.10,T. Boyd WR - CIN Q ,0.00,S. Perine RB - DEN ,0.00,A. Lazard WR - NYJ ,10.90,T. Bass K - BUF ,0.00,57.40,Howard,103.10
Howard,8,J. Goff QB - DET ,22.40,A. Kamara RB - NO ,9.00,I. Pacheco RB - KC ,12.90,T. McLaurin WR - WAS ,5.70,J. Jeudy WR - DEN ,10.80,E. Engram TE - JAX ,3.90,C. Patterson RB - ATL ,20.40,H. Butker K - KC ,3.00,Lions DEF ,15.00,T. Brady QB - TB ,37.68,G. Everett TE - LAC ,10.50,M. Williams WR - LAC Q ,16.40,D. Slayton WR - NYG ,1.40,D. Peoples-Jones WR - CLE ,8.30,C. Akers RB - LA ,14.30,103.10,Aiden,57.40
Ulises,3,D. Prescott QB - DAL ,14.38,J. Conner RB - ARI Q ,14.00,C. McCaffrey RB - SF ,31.30,T. Hill WR - MIA ,15.70,C. Lamb WR - DAL ,21.00,M. Andrews TE - BAL ,19.00,A. St. Brown WR - DET ,10.20,Y. Koo K - ATL ,8.00,Patriots DEF ,12.00,D. Waller TE - NYG ,16.20,E. Elliott RB - DAL ,9.70,G. Minshew QB - IND ,12.96,M. Pittman WR - IND ,16.10,J. Waddle WR - MIA ,8.20,B. Purdy QB - SF Q ,17.06,145.58,Matthew,73.00
