Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,3,J. Burrow QB - CIN ,20.08,A. Ekeler RB - LAC ,34.90,S. Barkley RB - NYG ,18.20,S. Diggs WR - BUF ,10.20,D. Samuel WR - SF ,23.70,G. Kittle TE - SF ,4.40,C. Olave WR - NO ,16.70,C. Boswell K - PIT ,12.00,Packers DEF ,7.00,K. Cousins QB - MIN ,12.92,C. Patterson RB - ATL ,9.80,T. McLaurin WR - WAS ,3.50,H. Renfrow WR - LV ,0.00,B. Hall RB - NYJ IR ,15.80,Ravens DEF ,5.00,147.18,Joshua,102.06
Joshua,8,M. Stafford QB - LA IR ,6.76,J. Taylor RB - IND IR ,3.30,A. Gibson RB - WAS IR ,9.30,D. Johnson WR - PIT ,4.20,T. Higgins WR - CIN ,25.40,T. Kelce TE - KC ,24.20,C. Godwin WR - TB ,12.90,M. Crosby K - GB ,9.00,Bills DEF ,7.00,D. Hopkins WR - ARI Q ,0.00,M. Thomas WR - NO IR ,0.00,M. Williams WR - LAC Q ,19.00,C. Edmonds RB - TB ,10.00,J. Jacobs RB - LV ,34.50,T. Lawrence QB - JAX ,5.66,102.06,Alex,147.18
Justin,2,J. Herbert QB - LAC Q ,21.10,D. Henry RB - TEN ,23.70,M. Sanders RB - CAR ,29.60,M. Evans WR - TB ,30.30,J. Chase WR - CIN ,12.10,Z. Ertz TE - ARI IR ,16.70,G. Wilson WR - NYJ ,6.10,R. Succop K - TB ,7.00,Steelers DEF ,5.00,A. Thielen WR - CAR ,15.20,D. Goedert TE - PHI ,12.20,D. Swift RB - PHI ,0.00,T. Tagovailoa QB - MIA ,2.40,B. Aiyuk WR - SF ,7.70,P. Freiermuth TE - PIT Q ,15.50,151.60,Luke,136.26
Luke,6,P. Mahomes QB - KC ,23.36,L. Fournette RB - TB ,18.40,N. Harris RB - PIT ,7.40,D. Adams WR - LV ,19.50,C. Kirk WR - JAX Q ,8.30,D. Waller TE - NYG ,5.40,J. Williams RB - NO ,23.90,B. Maher K - DAL ,15.00,Eagles DEF ,15.00,K. Allen WR - LAC ,0.00,K. Hunt RB - CLE ,8.80,A. Lazard WR - NYJ ,17.60,T. Conklin TE - NYJ ,8.20,M. Brown WR - ARI ,20.80,R. Bateman WR - BAL IR ,4.70,136.26,Justin,151.60
Matthew,1,J. Hurts QB - PHI ,15.96,A. Jones RB - GB ,14.50,K. Herbert RB - CHI ,11.10,A. Cooper WR - CLE ,1.90,C. Kupp WR - LA IR ,26.20,M. Andrews TE - BAL ,3.50,J. Jefferson WR - MIN ,31.00,D. Carlson K - LV ,14.00,49ers DEF ,21.00,A. Rodgers QB - NYJ ,16.14,T. Lockett WR - SEA ,13.10,E. Elliott RB - DAL ,10.10,G. Davis WR - BUF ,2.30,A. St. Brown WR - DET ,0.00,M. Carter RB - NYJ ,4.90,139.16,Howard,118.30
Aiden,5,J. Allen QB - BUF ,23.52,J. Mixon RB - CIN ,17.40,D. Cook RB - MIN ,10.60,B. Cooks WR - DAL ,18.70,A. Brown WR - PHI ,14.50,G. Everett TE - LAC ,17.10,D. Metcalf WR - SEA ,21.90,J. Tucker K - BAL ,10.00,Rams DEF ,1.00,R. Woods WR - HOU ,13.00,J. Conner RB - ARI Q ,10.70,T. Hockenson TE - MIN ,39.90,J. Dobbins RB - BAL ,22.30,E. Moore WR - CLE ,8.50,T. Lance QB - SF IR ,0.00,134.72,Ulises,113.58
Howard,7,T. Brady QB - TB ,25.40,D. Singletary RB - HOU ,11.60,C. Edwards-Helaire RB - KC IA ,22.40,T. Hill WR - MIA ,25.90,D. Smith WR - PHI ,4.70,K. Pitts TE - ATL IR ,3.50,C. Samuel WR - WAS ,7.80,G. Gano K - NYG ,8.00,Jaguars DEF ,9.00,A. Kamara RB - NO ,0.00,L. Jackson QB - BAL Q ,13.06,D. Schultz TE - HOU ,0.00,D. Montgomery RB - DET ,0.00,J. Jeudy WR - DEN ,15.30,D. London WR - ATL ,3.70,118.30,Matthew,139.16
Ulises,4,K. Murray QB - ARI IR ,22.88,C. McCaffrey RB - SF ,25.80,N. Chubb RB - CLE ,20.70,M. Pittman WR - IND ,6.10,J. Waddle WR - MIA ,5.90,T. Higbee TE - LA ,17.30,J. Robinson RB - NE ,2.90,Y. Koo K - ATL ,11.00,Buccaneers DEF ,1.00,C. Wentz QB - WAS ,7.30,J. Smith-Schuster WR - NE ,9.60,C. Sutton WR - DEN ,16.20,C. Lamb WR - DAL ,21.70,A. Dillon RB - GB ,9.40,J. Williams RB - DEN IR ,3.70,113.58,Aiden,134.72
