Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,1,D. Brees QB - NO ,14.40,J. Jacobs RB - LV ,35.90,A. Gibson RB - WAS ,6.40,J. Jones WR - ATL Q ,24.70,D. Hopkins WR - ARI ,29.10,G. Kittle TE - SF ,9.30,A. Robinson WR - CHI ,12.30,J. Lambo K - JAX IR ,11.00,Ravens DEF ,15.00,T. Brady QB - TB ,20.46,J. Brown WR - BUF ,19.00,K. Hunt RB - CLE ,12.10,C. Sutton WR - DEN IR ,0.00,M. Sanders RB - PHI Q ,0.00,Titans DEF ,3.00,158.10,Justin,139.62
Sean,7,P. Mahomes QB - KC Q ,20.44,K. Drake RB - ARI ,14.50,C. McCaffrey RB - CAR Q ,28.50,C. Kupp WR - LA Q ,8.00,A. Brown WR - TEN Q ,8.90,R. Gronkowski TE - TB ,3.10,M. Brown WR - BAL ,15.10,W. Lutz K - NO ,10.00,Bills DEF ,8.00,E. Sanders WR - NO ,10.50,O. Beckham WR - CLE IR ,5.20,J. Crowder WR - NYJ ,24.50,J. Smith TE - TEN ,13.60,D. Singletary RB - BUF ,10.30,J. Dobbins RB - BAL ,14.20,116.54,Luke,135.88
Justin,5,D. Watson QB - HOU ,20.82,D. Cook RB - MIN ,21.80,S. Barkley RB - NYG IR ,12.60,R. Woods WR - LA ,17.90,A. Cooper WR - DAL Q ,18.10,Z. Ertz TE - PHI ,10.80,C. Carson RB - SEA ,24.60,H. Butker K - KC ,10.00,Bears DEF ,3.00,B. Roethlisberger QB - PIT ,22.06,A. Thielen WR - MIN ,31.00,C. Wentz QB - PHI ,13.00,D. Chark WR - JAX Q ,11.50,N. Fant TE - DEN ,19.10,M. Prater K - DET ,11.00,139.62,Alex,158.10
Luke,3,R. Wilson QB - SEA ,31.78,M. Ingram RB - BAL ,2.90,A. Jones RB - GB Q ,17.60,D. Adams WR - GB ,41.60,M. Thomas WR - NO Q ,4.70,J. Cook TE - NO ,13.00,T. Hilton WR - IND ,9.30,M. Crosby K - GB ,11.00,49ers DEF ,4.00,M. Stafford QB - DET ,16.18,K. Rudolph TE - MIN IR ,4.80,J. White RB - NE ,8.20,M. Mack RB - IND IR ,8.60,C. Kirk WR - ARI ,1.00,D. Samuel WR - SF Q ,0.00,135.88,Sean,116.54
Matthew,8,A. Rodgers QB - GB ,30.76,J. Conner RB - PIT ,3.70,A. Kamara RB - NO ,23.70,T. Lockett WR - SEA ,17.20,T. Hill WR - KC ,15.60,T. Higbee TE - LA ,7.00,J. Mixon RB - CIN IR ,6.10,J. Elliott K - PHI ,5.00,Seahawks DEF ,6.00,L. Bell RB - KC ,6.60,D. Waller TE - LV ,10.50,W. Fuller WR - HOU ,19.20,M. Gallup WR - DAL ,8.00,N. Chubb RB - CLE ,5.60,D. Jones QB - NYG ,17.36,115.06,Howard,124.20
Aiden ,2,L. Jackson QB - BAL Q ,27.50,D. Johnson RB - HOU ,19.90,D. Henry RB - TEN ,16.10,J. Edelman WR - NE IR ,13.00,K. Allen WR - LAC ,7.70,T. Kelce TE - KC ,17.00,D. Metcalf WR - SEA ,19.50,R. Gould K - SF ,10.00,Steelers DEF ,8.00,S. Watkins WR - KC ,21.50,B. Cooks WR - HOU ,4.00,D. Njoku TE - CLE ,14.00,C. Ridley WR - ATL ,33.90,J. Allen QB - BUF ,28.18,D. Montgomery RB - CHI ,8.40,138.70,Ulises,129.24
Howard,4,K. Murray QB - ARI Q ,26.30,T. Gurley RB - ATL ,13.70,C. Edwards-Helaire RB - KC ,19.80,J. Smith-Schuster WR - PIT ,24.90,D. Moore WR - CAR ,9.40,A. Hooper TE - CLE ,3.50,S. Diggs WR - BUF ,16.60,J. Slye K - CAR ,10.00,Buccaneers DEF ,0.00,M. Ryan QB - ATL ,23.90,M. Evans WR - TB ,7.20,D. Parker WR - MIA ,8.70,H. Henry TE - LAC ,12.30,T. Boyd WR - CIN ,7.30,L. Fournette RB - TB ,2.90,124.20,Matthew,115.06
Ulises,6,D. Prescott QB - DAL IR ,17.64,E. Elliott RB - DAL ,27.70,A. Ekeler RB - LAC Q ,9.70,C. Godwin WR - TB ,13.90,T. McLaurin WR - WAS ,11.10,M. Andrews TE - BAL ,22.80,B. Scott RB - PHI ,7.40,J. Tucker K - BAL ,8.00,Patriots DEF ,11.00,A. Green WR - CIN ,10.10,C. Newton QB - NE ,25.70,M. Gordon RB - DEN ,15.60,K. Golladay WR - DET Q ,0.00,D. Goedert TE - PHI Q ,24.10,-,-,129.24,Aiden ,138.70
