Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,5,G. Minshew QB - JAX ,19.02,K. Hunt RB - CLE ,19.20,J. Jacobs RB - LV ,6.10,J. Jones WR - ATL Q ,17.70,D. Hopkins WR - ARI ,24.30,G. Kittle TE - SF ,10.50,A. Robinson WR - CHI ,11.00,Y. Koo K - ATL ,2.00,Football Team DEF ,17.00,D. Brees QB - NO ,23.68,J. Landry WR - CLE ,10.96,J. Brown WR - BUF ,0.00,M. Sanders RB - PHI Q ,0.00,D. Carlson K - LV ,8.00,Ravens DEF ,0.00,126.82,Luke,155.72
Sean,8,P. Mahomes QB - KC Q ,12.00,M. Davis RB - CAR Q ,8.60,D. Swift RB - DET ,14.80,A. Brown WR - TEN Q ,27.30,C. Lamb WR - DAL ,0.10,J. Smith TE - TEN ,1.90,T. Boyd WR - CIN ,27.74,W. Lutz K - NO ,9.00,Bills DEF ,14.00,A. Brown WR - TB ,0.00,K. Drake RB - ARI ,5.10,C. Kupp WR - LA Q ,11.90,C. McCaffrey RB - CAR Q ,0.00,M. Brown WR - BAL ,0.00,J. Jefferson WR - MIN ,0.00,115.44,Howard,117.50
Justin,4,D. Watson QB - HOU ,24.16,C. Carson RB - SEA ,5.10,J. Robinson RB - JAX Q ,31.70,R. Woods WR - LA ,5.50,A. Cooper WR - DAL Q ,15.50,J. Graham TE - CHI ,8.10,D. Henderson RB - LA IR ,9.60,H. Butker K - KC ,13.00,Patriots DEF ,4.00,B. Roethlisberger QB - PIT ,12.62,A. Thielen WR - MIN ,0.00,D. Cook RB - MIN ,0.00,R. Tonyan TE - GB ,5.20,D. Chark WR - JAX Q ,3.60,C. Claypool WR - PIT ,0.80,116.66,Aiden ,111.78
Luke,7,R. Wilson QB - SEA ,29.92,D. Freeman RB ,0.80,R. Jones RB - TB ,10.60,D. Adams WR - GB ,44.60,D. Samuel WR - SF Q ,12.20,E. Engram TE - NYG ,10.90,C. Kirk WR - ARI ,20.70,C. Boswell K - PIT ,9.00,49ers DEF ,17.00,M. Stafford QB - DET ,18.40,A. Peterson RB - DET ,4.00,T. Hilton WR - IND ,0.00,M. Jones WR - DET ,13.00,M. Thomas WR - NO Q ,0.00,A. Jones RB - GB Q ,0.00,155.72,Alex,126.82
Matthew,2,A. Rodgers QB - GB ,27.32,J. Conner RB - PIT ,14.10,A. Kamara RB - NO ,22.80,T. Lockett WR - SEA ,53.00,T. Hill WR - KC ,17.50,D. Waller TE - LV ,17.00,W. Fuller WR - HOU ,12.50,S. Gostkowski K - TEN ,8.00,Chiefs DEF ,24.00,A. Dalton QB - DAL ,2.60,O. Beckham WR - CLE IR ,0.00,M. Gordon RB - DEN ,12.00,T. Higbee TE - LA ,0.00,J. Mixon RB - CIN IR ,0.00,N. Chubb RB - CLE ,0.00,196.22,Ulises,97.02
Aiden ,3,J. Allen QB - BUF ,16.38,D. Johnson RB - HOU ,16.40,D. Henry RB - TEN ,15.20,C. Ridley WR - ATL ,19.90,D. Metcalf WR - SEA ,4.30,T. Kelce TE - KC ,6.10,K. Allen WR - LAC ,22.50,R. Gould K - SF ,9.00,Steelers DEF ,2.00,J. Edelman WR - NE IR ,2.30,S. Watkins WR - KC ,0.00,B. Cooks WR - HOU ,13.00,L. Jackson QB - BAL Q ,0.00,D. Montgomery RB - CHI ,11.90,Saints DEF ,1.00,111.78,Justin,116.66
Howard,1,K. Murray QB - ARI Q ,37.10,T. Gurley RB - ATL ,22.20,C. Edwards-Helaire RB - KC ,13.30,J. Crowder WR - NYJ ,0.00,S. Diggs WR - BUF ,10.80,H. Henry TE - LAC ,5.30,T. Higgins WR - CIN Q ,18.80,C. Santos K - CHI ,4.00,Buccaneers DEF ,6.00,T. Brady QB - TB ,36.86,M. Evans WR - TB ,5.70,R. Anderson WR - CAR ,13.40,J. Smith-Schuster WR - PIT ,17.50,M. Gesicki TE - MIA ,0.00,R. Blankenship K - IND ,0.00,117.50,Sean,115.44
Ulises,6,C. Newton QB - NE ,-0.18,J. McKinnon RB - SF ,-0.10,E. Elliott RB - DAL ,6.10,C. Godwin WR - TB ,23.80,T. McLaurin WR - WAS ,22.00,E. Ebron TE - PIT Q ,11.00,K. Golladay WR - DET Q ,17.40,R. Bullock K - CIN ,10.00,Browns DEF ,7.00,A. Ekeler RB - LAC Q ,0.00,D. Moore WR - CAR ,25.30,M. Andrews TE - BAL ,0.00,J. Taylor RB - IND ,0.00,J. Herbert QB - LAC ,38.48,A. Gibson RB - WAS ,18.80,97.02,Matthew,196.22
