Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,7,B. Roethlisberger QB - PIT ,18.20,K. Hunt RB - CLE ,8.70,M. Sanders RB - PHI Q ,3.10,J. Jones WR - ATL Q ,15.40,D. Hopkins WR - ARI ,19.20,J. Reed TE - SF ,12.20,A. Robinson WR - CHI ,13.50,J. Sanders K - MIA ,13.00,Ravens DEF ,4.00,J. Landry WR - CLE ,20.44,A. Hooper TE - CLE ,4.40,G. Kittle TE - SF ,0.00,J. Jacobs RB - LV ,0.00,D. Samuel WR - SF Q ,13.60,D. Swift RB - DET ,0.00,107.30,Aiden ,127.40
Sean,8,P. Mahomes QB - KC Q ,19.32,K. Ballage RB - LAC ,6.90,A. Gibson RB - WAS ,1.40,T. Boyd WR - CIN ,14.20,C. Kupp WR - LA Q ,15.30,E. Ebron TE - PIT Q ,13.80,A. Brown WR - TEN Q ,10.70,W. Lutz K - NO ,3.00,Eagles DEF ,7.00,A. Brown WR - TB ,0.00,C. McCaffrey RB - CAR Q ,0.00,J. Smith-Schuster WR - PIT ,9.80,M. Brown WR - BAL ,14.90,T. Tagovailoa QB - MIA ,16.14,J. Jefferson WR - MIN ,27.30,91.62,Matthew,146.30
Justin,3,D. Watson QB - HOU ,19.44,D. Cook RB - MIN ,23.90,J. Robinson RB - JAX Q ,22.80,R. Woods WR - LA ,18.50,A. Thielen WR - MIN ,21.50,H. Hurst TE - ATL ,1.90,C. Carson RB - SEA ,20.00,H. Butker K - KC ,16.00,Dolphins DEF ,14.00,J. Graham TE - CHI ,0.00,A. Cooper WR - DAL Q ,16.30,C. Davis WR - TEN ,35.20,W. Gallman RB - NYG ,13.50,D. Chark WR - JAX Q ,6.10,D. Henderson RB - LA IR ,15.40,158.04,Ulises,106.10
Luke,4,R. Wilson QB - SEA ,15.02,R. Mostert RB - SF IR ,5.30,A. Jones RB - GB Q ,23.80,D. Adams WR - GB ,34.10,M. Thomas WR - NO Q ,19.50,H. Henry TE - LAC ,1.50,C. Claypool WR - PIT ,5.80,Y. Koo K - ATL ,12.00,Saints DEF ,6.00,M. Stafford QB - DET ,26.08,M. Jones WR - DET ,25.60,C. Beasley WR - BUF Q ,28.00,C. Samuel WR - CAR ,0.00,R. Jones RB - TB ,0.00,C. Kirk WR - ARI ,1.20,123.02,Howard,102.02
Matthew,1,A. Rodgers QB - GB ,23.50,E. Elliott RB - DAL ,13.50,A. Kamara RB - NO ,17.70,T. Lockett WR - SEA ,12.30,T. Hill WR - KC ,14.80,D. Waller TE - LV ,45.00,D. Parker WR - MIA ,7.50,D. Carlson K - LV ,7.00,Chiefs DEF ,5.00,T. Brady QB - TB ,0.00,M. Gordon RB - DEN ,15.20,J. Conner RB - PIT ,0.00,T. Fulgham WR - PHI ,0.00,D. Johnson WR - PIT ,21.10,Giants DEF ,13.00,146.30,Sean,91.62
Aiden ,2,J. Allen QB - BUF ,30.10,D. Henry RB - TEN ,5.90,N. Hines RB - IND ,12.20,K. Allen WR - LAC ,9.80,D. Metcalf WR - SEA ,13.00,T. Kelce TE - KC ,27.60,C. Ridley WR - ATL ,15.80,J. Tucker K - BAL ,10.00,Steelers DEF ,3.00,S. Watkins WR - KC ,7.50,B. Cooks WR - HOU ,11.50,D. Johnson RB - HOU Q ,9.20,D. Johnson RB - HOU ,10.40,L. Jackson QB - BAL Q ,25.68,D. Montgomery RB - CHI ,27.10,127.40,Alex,107.30
Howard,5,K. Murray QB - ARI Q ,16.42,K. Drake RB - ARI ,13.80,C. Edwards-Helaire RB - KC ,0.00,S. Diggs WR - BUF ,19.20,C. Lamb WR - DAL ,10.60,T. Hockenson TE - DET ,15.40,T. Higgins WR - CIN Q ,10.60,R. Blankenship K - IND ,6.00,Packers DEF ,10.00,M. Evans WR - TB ,0.00,T. Gurley RB - ATL ,3.00,R. Anderson WR - CAR ,0.00,J. Mixon RB - CIN IR ,0.00,J. Meyers WR - NE ,3.50,Buccaneers DEF ,0.00,102.02,Luke,123.02
Ulises,6,K. Cousins QB - MIN ,21.40,A. Ekeler RB - LAC Q ,10.80,M. Gaskin RB - MIA ,14.10,S. Shepard WR - NYG ,5.20,T. McLaurin WR - WAS ,3.40,D. Goedert TE - PHI Q ,11.60,N. Chubb RB - CLE ,17.60,K. Fairbairn K - HOU ,10.00,Colts DEF ,12.00,K. Golladay WR - DET Q ,0.00,C. Godwin WR - TB ,0.00,D. Moore WR - CAR ,0.00,M. Andrews TE - BAL ,0.00,J. Taylor RB - IND ,22.50,J. Herbert QB - LAC ,4.36,106.10,Justin,158.04
