Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,5,D. Brees QB - NO ,15.54,J. Jacobs RB - LV ,10.30,M. Sanders RB - PHI Q ,9.60,J. Jones WR - ATL Q ,7.20,D. Hopkins WR - ARI ,11.10,G. Kittle TE - SF ,40.10,A. Robinson WR - CHI ,23.10,M. Prater K - DET ,3.00,Ravens DEF ,6.00,J. Landry WR - CLE ,15.28,J. Brown WR - BUF ,8.20,K. Hunt RB - CLE ,19.10,R. Gage WR - ATL ,4.00,T. Hockenson TE - DET ,10.90,J. Burrow QB - CIN IR ,15.10,125.94,Sean,128.04
Sean,8,P. Mahomes QB - KC Q ,20.24,D. Henderson RB - LA IR ,4.70,D. Singletary RB - BUF ,18.70,C. Lamb WR - DAL ,25.20,J. Jefferson WR - MIN ,14.30,D. Schultz TE - DAL ,17.20,C. Kupp WR - LA Q ,17.70,W. Lutz K - NO ,5.00,Seahawks DEF ,5.00,K. Drake RB - ARI ,3.50,T. Boyd WR - CIN ,16.40,C. McCaffrey RB - CAR Q ,0.00,J. Smith TE - TEN ,0.00,M. Brown WR - BAL ,12.60,-,-,128.04,Alex,125.94
Justin,6,D. Watson QB - HOU ,20.90,D. Cook RB - MIN ,28.60,J. Robinson RB - JAX Q ,14.70,R. Woods WR - LA ,9.80,A. Cooper WR - DAL Q ,33.40,N. Fant TE - DEN ,8.50,C. Carson RB - SEA ,25.00,H. Butker K - KC ,8.00,Bears DEF ,2.00,B. Roethlisberger QB - PIT ,0.00,R. Burkhead RB - NE IR ,6.00,Z. Ertz TE - PHI ,6.90,A. Thielen WR - MIN ,26.20,M. Brown RB - LA ,10.70,D. Chark WR - JAX Q ,29.50,150.90,Luke,118.90
Luke,7,R. Wilson QB - SEA ,20.90,J. McKinnon RB - SF ,22.70,A. Jones RB - GB Q ,22.10,T. Hilton WR - IND ,5.90,M. Valdes-Scantling WR - GB ,8.50,K. Rudolph TE - MIN IR ,4.70,M. Davis RB - CAR Q ,22.10,M. Crosby K - GB ,6.00,49ers DEF ,6.00,J. Cook TE - NO ,0.00,M. Stafford QB - DET ,22.34,D. Adams WR - GB ,0.00,M. Thomas WR - NO Q ,0.00,R. Jones RB - TB ,18.80,C. Kirk WR - ARI ,10.90,118.90,Justin,150.90
Matthew,1,A. Rodgers QB - GB ,29.58,M. Gordon RB - DEN ,25.80,A. Kamara RB - NO ,20.90,T. Lockett WR - SEA ,5.90,T. Hill WR - KC ,16.40,D. Waller TE - LV ,15.80,N. Chubb RB - CLE ,4.30,D. Carlson K - LV ,13.00,Rams DEF ,11.00,W. Fuller WR - HOU ,22.80,T. Higbee TE - LA ,5.00,J. Mixon RB - CIN IR ,42.10,J. Conner RB - PIT ,0.00,M. Gallup WR - DAL ,4.90,S. Gostkowski K - TEN ,0.00,142.68,Aiden ,91.72
Aiden ,3,L. Jackson QB - BAL Q ,25.02,D. Johnson RB - HOU ,11.20,D. Montgomery RB - CHI ,10.70,K. Allen WR - LAC ,14.20,C. Ridley WR - ATL ,0.00,T. Kelce TE - KC ,10.00,D. Metcalf WR - SEA ,14.60,R. Gould K - SF ,2.00,Saints DEF ,4.00,J. Edelman WR - NE IR ,6.50,S. Watkins WR - KC ,6.30,B. Cooks WR - HOU ,0.00,D. Henry RB - TEN ,0.00,J. Allen QB - BUF ,25.42,Steelers DEF ,0.00,91.72,Matthew,142.68
Howard,2,T. Brady QB - TB ,32.46,T. Gurley RB - ATL ,19.30,C. Edwards-Helaire RB - KC ,12.10,M. Evans WR - TB ,25.20,S. Diggs WR - BUF ,17.50,H. Henry TE - LAC ,5.90,D. Parker WR - MIA ,21.00,R. Blankenship K - IND ,13.00,Buccaneers DEF ,6.00,J. Crowder WR - NYJ ,17.40,R. Anderson WR - CAR ,17.90,J. Smith-Schuster WR - PIT ,0.00,M. Gesicki TE - MIA ,2.50,M. Gaskin RB - MIA ,9.20,K. Murray QB - ARI Q ,23.12,152.46,Ulises,141.78
Ulises,4,D. Prescott QB - DAL IR ,37.28,E. Elliott RB - DAL ,20.50,A. Ekeler RB - LAC Q ,2.40,K. Golladay WR - DET Q ,16.20,T. McLaurin WR - WAS ,21.80,M. Andrews TE - BAL ,20.70,J. Taylor RB - IND ,8.90,J. Tucker K - BAL ,7.00,Colts DEF ,7.00,A. Green WR - CIN ,1.30,C. Newton QB - NE ,0.00,C. Godwin WR - TB ,0.00,D. Moore WR - CAR ,8.90,D. Goedert TE - PHI Q ,0.00,A. Gibson RB - WAS ,22.80,141.78,Howard,152.46
