Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,5,J. Allen QB - BUF ,22.98,K. Williams RB - LAR ,16.20,J. Gibbs RB - DET ,26.30,M. Evans WR - TB ,29.70,L. McConkey WR - LAC ,29.40,T. McBride TE - ARI ,30.30,J. Jacobs RB - GB ,10.90,J. Sanders K - MIA ,10.00,Colts DEF ,-4.00,C. Kupp WR - SEA ,3.90,J. Smith TE - MIA ,11.60,J. Herbert QB - LAC ,24.44,J. Waddle WR - MIA ,0.00,D. London WR - ATL ,17.60,I. Pacheco RB - KC ,1.80,171.78,Howard,163.88
Joshua,8,J. Burrow QB - CIN ,36.98,J. Cook RB - BUF ,11.30,D. Achane RB - MIA ,5.80,J. Meyers WR - LV ,17.10,G. Wilson WR - NYJ ,17.60,T. Hockenson TE - MIN ,11.80,T. McLaurin WR - WAS ,1.50,J. Tucker K - BAL ,9.00,Chiefs DEF ,13.00,A. Cooper WR - BUF ,14.60,P. Mahomes QB - KC ,26.00,D. Samuel WR - WAS ,9.10,J. Williams RB - DAL ,2.00,D. Smith WR - PHI ,30.00,J. Williams WR - DET ,24.50,124.08,Aiden,112.78
Justin,2,B. Mayfield QB - TB ,34.56,S. Barkley RB - PHI ,18.90,A. Mattison RB - MIA ,4.80,D. Adams WR - LAR ,9.70,B. Thomas WR - JAX ,23.90,T. Kelce TE - KC ,22.40,C. Sutton WR - DEN ,16.50,K. Fairbairn K - HOU ,0.00,Steelers DEF ,-1.00,A. Kamara RB - NO Q ,0.00,T. Pollard RB - TEN ,0.00,C. Lamb WR - DAL ,0.00,R. Stevenson RB - NE ,0.10,P. Freiermuth TE - PIT ,11.00,N. Harris RB - LAC ,10.10,129.76,Matthew,110.66
Luke,3,J. Love QB - GB ,14.00,J. Conner RB - ARI Q ,2.80,A. Jones RB - MIN ,11.70,N. Collins WR - HOU ,8.90,P. Nacua WR - LAR ,22.90,T. Kraft TE - GB ,7.30,A. St. Brown WR - DET ,20.00,C. Dicker K - LAC ,16.00,Packers DEF ,3.00,J. Hurts QB - PHI ,0.00,K. Shakir WR - BUF ,5.50,Z. Flowers WR - BAL Q ,5.10,J. Reed WR - GB Q ,1.60,T. Spears RB - TEN Q ,13.30,J. Dobbins RB - LAC ,15.30,106.60,Sean,211.02
Matthew,4,B. Nix QB - DEN ,21.86,J. Mixon RB - HOU ,5.90,Z. Charbonnet RB - SEA ,10.60,J. Jefferson WR - MIN ,17.20,J. Smith-Njigba WR - SEA ,6.20,S. LaPorta TE - DET ,18.40,K. Allen WR - CHI ,7.50,J. Bates K - DET ,10.00,Bills DEF ,13.00,T. Hill WR - MIA Q ,19.50,J. Jennings WR - SF ,13.70,J. Ford RB - CLE ,2.20,R. White RB - TB ,4.40,I. Guerendo RB - SF Q ,13.90,Broncos DEF ,8.00,110.66,Justin,129.76
Aiden,6,S. Darnold QB - SEA ,24.78,B. Robinson RB - WAS ,8.90,C. Brown RB - CIN Q ,13.10,A. Brown WR - PHI ,12.60,J. Chase WR - CIN ,19.20,Z. Ertz TE - WAS ,25.20,K. Walker RB - SEA Q ,0.00,C. Boswell K - PIT ,4.00,Lions DEF ,5.00,D. Njoku TE - CLE Q ,0.00,D. Metcalf WR - PIT ,7.20,C. Hubbard RB - CAR ,0.00,T. Tracy RB - NYG ,9.30,M. Harrison WR - ARI ,15.60,A. Ekeler RB - WAS ,0.00,112.78,Joshua,124.08
Howard,7,J. Daniels QB - WAS ,31.78,D. Henry RB - BAL ,24.50,R. Dowdle RB - CAR ,9.80,A. Thielen WR - CAR ,28.00,J. McMillan WR - TB ,23.00,B. Bowers TE - LV ,14.60,D. Moore WR - CHI ,12.20,D. Carlson K - LV ,15.00,Vikings DEF ,5.00,K. Hunt RB - KC ,8.00,C. Ridley WR - TEN ,14.10,M. Andrews TE - BAL ,14.80,K. Murray QB - ARI ,16.04,D. Swift RB - CHI ,12.10,M. Nabers WR - NYG ,36.10,163.88,Alex,171.78
Sean,1,L. Jackson QB - BAL ,29.42,J. Taylor RB - IND ,27.60,B. Robinson RB - ATL ,24.80,T. Higgins WR - CIN ,40.10,J. Addison WR - MIN ,18.90,G. Kittle TE - SF ,19.20,B. Irving RB - TB ,23.00,J. Elliott K - PHI ,11.00,Ravens DEF ,17.00,A. Abdullah RB - LV Q ,17.70,D. Mooney WR - ATL Q ,5.70,J. Jeudy WR - CLE ,21.40,B. Hall RB - NYJ ,6.30,G. Pickens WR - DAL ,8.00,B. Aubrey K - DAL Q ,1.00,211.02,Luke,106.60
