Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,1,J. Herbert QB - LAC ,12.00,D. Cook RB - MIN ,20.80,D. Swift RB - DET ,16.50,S. Diggs WR - BUF ,30.20,T. Hill WR - MIA ,27.50,M. Andrews TE - BAL ,18.30,M. Gordon RB - DEN ,9.30,T. Bass K - BUF ,9.00,Colts DEF ,12.00,R. Gronkowski TE - TB ,0.00,D. Carr QB - LV ,18.24,D. Moore WR - CAR ,6.40,A. Mattison RB - MIN ,5.00,A. Gibson RB - WAS ,21.80,Panthers DEF ,12.00,155.60,Ulises,138.24
Sean,2,J. Allen QB - BUF ,20.94,D. Henderson RB - LA ,8.10,D. Johnson RB - CLE ,22.70,C. Kupp WR - LA ,23.20,C. Lamb WR - DAL ,28.60,D. Schultz TE - DAL ,2.40,E. Mitchell RB - SF ,9.10,M. Gay K - LA ,4.00,Bills DEF ,12.00,D. Hopkins WR - ARI IR ,0.00,K. Hunt RB - CLE Q ,0.00,A. Kamara RB - NO ,0.00,N. Chubb RB - CLE ,0.00,T. Hockenson TE - DET IR ,0.00,J. Chase WR - CIN ,0.00,131.04,Aiden,109.70
Justin,6,T. Brady QB - TB ,13.00,E. Elliott RB - DAL Q ,20.76,M. Gaskin RB - MIA ,5.50,A. Thielen WR - MIN IR ,11.50,M. Pittman WR - IND ,12.10,M. Gesicki TE - MIA ,0.00,C. Sutton WR - DEN ,4.90,N. Folk K - NE ,9.00,Rams DEF ,1.00,R. Woods WR - TEN IR ,0.00,K. Drake RB - LV Q ,5.10,J. Mixon RB - CIN ,0.00,N. Fant TE - SEA ,10.90,J. Robinson RB - JAX IR ,18.40,J. Hurts QB - PHI Q ,18.62,77.76,Matthew,128.52
Luke,3,P. Mahomes QB - KC ,36.24,D. Freeman RB - BAL Q ,8.80,L. Fournette RB - TB ,17.20,M. Evans WR - TB ,14.20,A. Brown WR - PHI ,3.30,K. Pitts TE - ATL ,10.00,C. Beasley WR - BUF ,3.50,M. Crosby K - GB ,5.00,Buccaneers DEF ,6.00,A. Brown WR Q ,0.00,R. Tannehill QB - TEN ,18.62,A. Cooper WR - CLE ,9.10,D. Henry RB - TEN ,0.00,J. McNichols RB - TEN ,1.80,J. Waddle WR - MIA ,10.10,104.24,Howard,45.70
Matthew,5,L. Jackson QB - BAL Q ,15.42,C. McCaffrey RB - CAR IR ,26.10,J. Taylor RB - IND ,24.60,D. Adams WR - LV ,14.80,D. Johnson WR - PIT ,13.30,G. Kittle TE - SF ,16.00,T. Lockett WR - SEA ,4.30,G. Joseph K - MIN ,9.00,Ravens DEF ,5.00,A. Rodgers QB - GB ,10.48,C. Carson RB - SEA IR ,0.00,S. Barkley RB - NYG ,0.00,J. Jacobs RB - LV ,8.60,M. Carter RB - NYJ ,18.20,Saints DEF ,2.00,128.52,Justin,77.76
Aiden,8,C. Wentz QB - WAS ,7.10,A. Collins RB - SEA IR ,5.90,A. Jones RB - GB ,12.60,K. Allen WR - LAC ,17.80,C. Godwin WR - TB IR ,12.70,T. Kelce TE - KC ,19.90,Z. Moss RB - BUF ,8.70,J. Tucker K - BAL ,4.00,Cowboys DEF ,21.00,J. Jones WR - TEN ,0.00,R. Wilson QB - DEN ,5.64,B. Cooks WR - HOU Q ,0.00,C. Uzomah TE - NYJ ,0.00,J. Burrow QB - CIN ,0.00,C. Claypool WR - PIT ,0.00,109.70,Sean,131.04
Howard,4,K. Murray QB - ARI ,0.00,C. Patterson RB - ATL ,4.90,D. Harris RB - NE ,0.00,M. Brown WR - ARI ,9.70,J. Jeudy WR - DEN ,11.10,D. Knox TE - BUF ,2.70,M. Williams WR - LAC ,7.30,B. McManus K - DEN ,7.00,Cardinals DEF ,3.00,T. Taylor QB - NYG ,0.00,Z. Ertz TE - ARI ,8.60,C. Edmonds RB - MIA ,0.00,D. Montgomery RB - CHI ,0.00,J. Jefferson WR - MIN ,22.90,D. Smith WR - PHI ,22.60,45.70,Luke,104.24
Ulises,7,D. Prescott QB - DAL ,26.34,A. Ekeler RB - LAC ,14.90,N. Harris RB - PIT ,17.30,D. Metcalf WR - SEA ,5.60,D. Samuel WR - SF ,30.30,D. Waller TE - LV ,6.40,J. Conner RB - ARI ,15.40,R. Bullock K - TEN ,11.00,Patriots DEF ,11.00,M. Stafford QB - LA ,9.82,O. Beckham WR - LA O ,3.80,D. Williams RB - KC ,29.40,D. Goedert TE - PHI ,4.80,T. McLaurin WR - WAS ,11.90,H. Renfrow WR - LV ,17.60,138.24,Alex,155.60
