Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,3,J. Herbert QB - LAC ,13.38,D. Cook RB - MIN ,20.40,D. Swift RB - DET ,24.40,S. Diggs WR - BUF ,15.90,T. Hill WR - MIA ,37.10,M. Andrews TE - BAL ,5.00,A. Gibson RB - WAS ,11.80,J. Sanders K - MIA ,5.00,Colts DEF ,4.00,R. Gronkowski TE - TB ,29.00,D. Moore WR - CAR ,15.40,J. Burrow QB - CIN ,18.64,B. Aiyuk WR - SF ,0.00,J. Williams RB - DEN ,5.10,49ers DEF ,10.00,136.98,Luke,129.78
Sean,4,J. Allen QB - BUF ,17.20,R. Mostert RB - MIA IR ,2.00,C. McCaffrey RB - CAR IR ,27.70,D. Hopkins WR - ARI IR ,26.30,D. Metcalf WR - SEA ,16.00,N. Fant TE - SEA ,12.20,C. Kupp WR - LA ,23.80,H. Butker K - KC ,9.00,Bills DEF ,2.00,K. Hunt RB - CLE Q ,17.10,D. Henderson RB - LA ,15.70,D. Samuel WR - SF ,31.90,C. Lamb WR - DAL ,23.40,J. Robinson RB - JAX IR ,8.40,J. Chase WR - CIN ,20.90,136.20,Justin,132.30
Justin,5,L. Jackson QB - BAL Q ,18.00,S. Barkley RB - NYG ,3.70,M. Gaskin RB - MIA ,12.60,K. Allen WR - LAC ,19.00,A. Thielen WR - MIN IR ,30.20,G. Kittle TE - SF ,11.80,J. Mixon RB - CIN ,25.00,R. Blankenship K - IND IR ,4.00,Rams DEF ,8.00,R. Woods WR - TEN IR ,12.40,E. Elliott RB - DAL Q ,5.90,J. Smith-Schuster WR - KC ,9.20,C. Sutton WR - DEN ,2.40,M. Gesicki TE - MIA ,0.00,T. Lawrence QB - JAX ,19.08,132.30,Sean,136.20
Luke,7,P. Mahomes QB - KC ,33.28,D. Henry RB - TEN ,10.70,D. Montgomery RB - CHI ,18.80,A. Cooper WR - CLE ,38.90,A. Brown WR - PHI ,14.90,R. Tonyan TE - GB IR ,2.80,M. Evans WR - TB ,5.40,M. Crosby K - GB ,3.00,Buccaneers DEF ,2.00,R. Tannehill QB - TEN ,14.18,O. Beckham WR - LA O ,0.00,M. Gordon RB - DEN ,20.80,D. Johnson RB - HOU ,11.80,L. Fournette RB - TB ,10.90,K. Pitts TE - ATL ,7.10,129.78,Alex,136.98
Matthew,8,A. Rodgers QB - GB ,1.32,M. Davis RB - ATL Q ,10.20,N. Chubb RB - CLE ,22.10,D. Adams WR - LV ,10.60,C. Ridley WR - ATL NFI-R ,10.10,T. Hockenson TE - DET IR ,25.70,D. Johnson WR - PIT ,14.60,D. Carlson K - LV ,11.00,Ravens DEF ,4.00,J. Cook TE - LAC ,10.60,T. Brady QB - TB ,27.16,L. Thomas TE - WAS IR ,12.00,M. Thomas WR - NO PUP ,0.00,C. Samuel WR - WAS Q ,0.00,J. Jacobs RB - LV ,17.00,109.62,Aiden,145.96
Aiden,1,R. Wilson QB - DEN ,27.06,A. Jones RB - GB ,4.20,C. Carson RB - SEA IR ,12.70,J. Jones WR - TEN ,5.90,C. Godwin WR - TB IR ,23.50,T. Kelce TE - KC ,25.60,T. Lockett WR - SEA ,26.00,J. Tucker K - BAL ,9.00,Steelers DEF ,12.00,K. Cousins QB - MIN ,22.04,J. Landry WR - CLE ,19.40,B. Cooks WR - HOU Q ,18.20,D. Parker WR - NE ,12.10,D. Chark WR - DET IR ,17.60,I. Smith TE - MIN IR ,0.00,145.96,Matthew,109.62
Howard,2,K. Murray QB - ARI ,33.56,J. Taylor RB - IND ,17.60,C. Edwards-Helaire RB - KC ,10.20,R. Anderson WR - CAR ,12.70,J. Jefferson WR - MIN ,12.54,D. Goedert TE - PHI ,14.20,M. Jones WR - JAX ,18.70,B. McManus K - DEN ,9.00,Cardinals DEF ,16.00,B. Roethlisberger QB - PIT ,12.02,H. Henry TE - NE ,6.10,C. Edmonds RB - MIA ,14.60,T. Higgins WR - CIN ,15.80,J. Jeudy WR - DEN ,13.20,D. Smith WR - PHI ,19.10,144.50,Ulises,131.72
Ulises,6,D. Prescott QB - DAL ,27.42,A. Kamara RB - NO ,18.10,A. Ekeler RB - LAC ,11.70,A. Robinson WR - LA ,9.50,T. McLaurin WR - WAS ,10.20,D. Waller TE - LV ,26.50,M. Sanders RB - PHI ,17.30,Y. Koo K - ATL ,6.00,Patriots DEF ,5.00,M. Stafford QB - LA ,24.34,J. Conner RB - ARI ,5.30,K. Golladay WR - NYG ,10.40,Z. Moss RB - BUF ,0.00,C. Claypool WR - PIT ,10.00,N. Harris RB - PIT ,5.90,131.72,Howard,144.50
