Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,1,J. Herbert QB - LAC ,30.84,A. Mattison RB - MIN ,23.10,D. Swift RB - DET ,23.70,S. Diggs WR - BUF ,12.20,T. Hill WR - MIA ,9.70,R. Gronkowski TE - TB ,9.50,A. Gibson RB - WAS ,17.40,M. Prater K - ARI ,7.00,Panthers DEF ,8.00,J. Winston QB - NO IR ,13.52,D. Cook RB - MIN ,0.00,D. Moore WR - CAR ,20.50,M. Andrews TE - BAL ,15.90,T. Williams RB - BAL ,2.20,Colts DEF ,7.00,141.44,Ulises,127.02
Sean,3,J. Allen QB - BUF ,37.22,C. McCaffrey RB - CAR IR ,6.00,A. Kamara RB - NO ,20.80,C. Kupp WR - LA ,30.60,M. Williams WR - LAC ,33.20,N. Fant TE - SEA ,3.50,C. Lamb WR - DAL ,9.50,H. Butker K - KC ,6.00,Raiders DEF ,4.00,D. Hopkins WR - ARI IR ,5.10,K. Hunt RB - CLE Q ,27.50,D. Henderson RB - LA ,0.00,J. Chase WR - CIN ,22.50,E. Mitchell RB - SF ,0.00,Bills DEF ,7.00,150.82,Aiden,121.22
Justin,5,L. Jackson QB - BAL Q ,19.28,S. Barkley RB - NYG ,21.40,M. Gaskin RB - MIA ,10.40,K. Allen WR - LAC ,19.00,A. Thielen WR - MIN IR ,17.00,G. Kittle TE - SF ,17.10,E. Elliott RB - DAL Q ,26.60,R. Blankenship K - IND IR ,10.00,Rams DEF ,3.00,R. Woods WR - TEN IR ,6.80,D. Carr QB - LV ,21.24,J. Mixon RB - CIN ,10.40,J. Smith-Schuster WR - KC ,5.50,C. Sutton WR - DEN ,8.70,M. Gesicki TE - MIA ,18.60,143.78,Matthew,110.14
Luke,7,P. Mahomes QB - KC ,22.90,D. Henry RB - TEN ,19.40,D. Montgomery RB - CHI ,7.50,A. Cooper WR - CLE ,5.60,A. Brown WR - PHI ,0.30,K. Pitts TE - ATL ,5.50,M. Evans WR - TB ,18.60,M. Crosby K - GB ,16.00,Buccaneers DEF ,0.00,A. Brown WR Q ,0.00,R. Tannehill QB - TEN ,21.48,O. Beckham WR - LA O ,13.70,M. Gordon RB - DEN ,15.10,C. Davis WR - NYJ IR ,9.10,L. Fournette RB - TB ,6.40,95.80,Howard,118.74
Matthew,6,A. Rodgers QB - GB ,19.04,M. Davis RB - ATL Q ,11.00,N. Chubb RB - CLE ,8.40,D. Adams WR - LV ,31.20,M. Pittman WR - IND ,13.30,T. Hockenson TE - DET IR ,3.00,J. Taylor RB - IND ,8.20,D. Carlson K - LV ,13.00,Ravens DEF ,3.00,T. Brady QB - TB ,28.68,L. Thomas TE - WAS IR ,12.20,M. Thomas WR - NO PUP ,0.00,J. Jacobs RB - LV ,0.00,D. Johnson WR - PIT ,0.00,J. Robinson RB - JAX IR ,25.40,110.14,Justin,143.78
Aiden,2,R. Wilson QB - DEN ,16.62,A. Jones RB - GB ,17.60,C. Carson RB - SEA IR ,16.20,T. Lockett WR - SEA ,7.10,C. Godwin WR - TB IR ,19.60,T. Kelce TE - KC ,17.40,J. Jones WR - TEN ,7.70,J. Tucker K - BAL ,17.00,Steelers DEF ,2.00,K. Cousins QB - MIN ,25.12,J. Landry WR - CLE ,0.00,B. Cooks WR - HOU Q ,20.70,D. Parker WR - NE ,8.20,S. Shepard WR - NYG IR ,3.60,D. Chark WR - DET IR ,13.90,121.22,Sean,150.82
Howard,4,K. Murray QB - ARI ,18.54,C. Edmonds RB - MIA ,14.50,C. Edwards-Helaire RB - KC ,16.90,C. Ridley WR - ATL NFI-R ,14.10,D. Smith WR - PHI ,5.80,J. Cook TE - LAC ,4.70,M. Jones WR - JAX ,12.20,B. McManus K - DEN ,14.00,Cardinals DEF ,18.00,W. Fuller WR - MIA IR ,7.00,M. Brown WR - ARI ,8.30,D. Knox TE - BUF ,14.90,D. Singletary RB - BUF ,3.60,T. Higgins WR - CIN ,0.00,J. Jefferson WR - MIN ,26.80,118.74,Luke,95.80
Ulises,8,D. Prescott QB - DAL ,20.12,A. Ekeler RB - LAC ,22.70,N. Harris RB - PIT ,28.20,D. Metcalf WR - SEA ,22.70,D. Samuel WR - SF ,10.20,D. Waller TE - LV ,10.40,A. Robinson WR - LA ,4.70,Y. Koo K - ATL ,5.00,Patriots DEF ,3.00,M. Stafford QB - LA ,29.52,J. Conner RB - ARI ,18.30,T. McLaurin WR - WAS ,10.20,M. Sanders RB - PHI ,8.50,Z. Moss RB - BUF ,18.10,C. Claypool WR - PIT ,18.60,127.02,Alex,141.44
