Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,1,J. Herbert QB - LAC ,19.72,D. Cook RB - MIN ,14.30,D. Swift RB - DET ,3.90,S. Diggs WR - BUF ,20.40,D. Moore WR - CAR ,14.30,M. Andrews TE - BAL ,16.50,A. Gibson RB - WAS ,23.60,T. Bass K - BUF ,7.00,Panthers DEF ,3.00,R. Gronkowski TE - TB ,19.30,T. Hill WR - MIA ,0.00,B. Aiyuk WR - SF ,12.50,M. Jones QB - NE ,21.50,Colts DEF ,2.00,49ers DEF ,5.00,122.72,Aiden,72.70
Sean,2,J. Allen QB - BUF ,26.70,N. Chubb RB - CLE ,5.90,D. Henderson RB - LA ,17.30,C. Kupp WR - LA ,18.60,J. Jefferson WR - MIN ,13.26,D. Schultz TE - DAL ,15.60,J. Chase WR - CIN ,6.90,M. Gay K - LA ,8.00,Bills DEF ,11.00,M. Ingram RB - NO Q ,0.00,D. Hopkins WR - ARI IR ,0.00,A. Kamara RB - NO ,0.00,C. Lamb WR - DAL ,0.00,E. Moore WR - NYJ COV ,9.30,D. Smith WR - PHI ,4.20,123.26,Luke,112.22
Justin,3,J. Hurts QB - PHI Q ,6.86,J. Mixon RB - CIN ,32.30,M. Gaskin RB - MIA ,19.20,A. Thielen WR - MIN IR ,23.20,M. Pittman WR - IND ,9.30,M. Gesicki TE - MIA ,4.70,E. Elliott RB - DAL Q ,16.90,N. Folk K - NE ,20.00,Dolphins DEF ,21.00,T. Brady QB - TB ,11.24,M. Gordon RB - DEN ,9.80,T. Patrick WR - DEN ,4.60,C. Sutton WR - DEN ,3.70,N. Fant TE - SEA ,4.20,J. Robinson RB - JAX IR ,12.50,153.46,Howard,86.02
Luke,6,R. Tannehill QB - TEN ,8.12,D. Freeman RB - BAL Q ,7.00,L. Fournette RB - TB ,44.10,C. Beasley WR - BUF ,9.60,M. Evans WR - TB ,4.60,K. Pitts TE - ATL ,4.60,D. Foreman RB - CAR ,10.20,M. Crosby K - GB ,12.00,Buccaneers DEF ,12.00,A. Brown WR Q ,0.00,A. Cooper WR - CLE ,0.00,D. Henry RB - TEN ,0.00,P. Mahomes QB - KC ,0.00,A. Dillon RB - GB Q ,20.00,J. Waddle WR - MIA ,28.70,112.22,Sean,123.26
Matthew,5,L. Jackson QB - BAL Q ,9.40,C. McCaffrey RB - CAR IR ,3.50,J. Taylor RB - IND ,19.70,D. Adams WR - LV ,18.40,D. Johnson WR - PIT ,18.50,G. Kittle TE - SF ,2.30,S. Barkley RB - NYG ,9.30,G. Joseph K - MIN ,2.00,Texans DEF ,6.00,A. Rodgers QB - GB ,26.28,T. Lockett WR - SEA ,12.60,J. Jacobs RB - LV ,19.20,D. Mooney WR - CHI ,17.50,M. Carter RB - NYJ ,0.00,Saints DEF ,5.00,89.10,Ulises,115.40
Aiden,8,J. Burrow QB - CIN ,16.40,A. Collins RB - SEA IR ,1.70,Z. Moss RB - BUF ,0.00,K. Allen WR - LAC ,15.50,C. Godwin WR - TB IR ,4.70,C. Uzomah TE - NYJ ,3.90,B. Cooks WR - HOU Q ,13.50,J. Tucker K - BAL ,12.00,Cowboys DEF ,5.00,J. Jones WR - TEN ,0.00,R. Wilson QB - DEN ,19.48,T. Kelce TE - KC ,0.00,C. Wentz QB - WAS ,20.34,A. Jones RB - GB ,2.30,C. Claypool WR - PIT ,11.20,72.70,Alex,122.72
Howard,7,T. Taylor QB - NYG ,15.32,K. Hunt RB - CLE Q ,2.00,D. Montgomery RB - CHI ,10.40,J. Landry WR - CLE ,15.10,M. Williams WR - LAC ,7.90,D. Knox TE - BUF ,18.20,M. Brown WR - ARI ,13.10,B. McManus K - DEN ,4.00,Cardinals DEF ,0.00,C. Patterson RB - ATL ,27.50,Z. Ertz TE - ARI ,0.00,K. Murray QB - ARI ,0.00,J. Jeudy WR - DEN ,4.50,C. Edwards-Helaire RB - KC ,0.00,E. Mitchell RB - SF ,27.80,86.02,Justin,153.46
Ulises,4,D. Prescott QB - DAL ,25.30,A. Ekeler RB - LAC ,21.90,N. Harris RB - PIT ,6.70,D. Metcalf WR - SEA ,2.30,D. Samuel WR - SF ,20.80,D. Waller TE - LV ,5.30,T. McLaurin WR - WAS ,9.10,R. Gould K - SF ,10.00,Patriots DEF ,14.00,M. Stafford QB - LA ,21.98,O. Beckham WR - LA O ,19.10,J. Conner RB - ARI ,0.00,D. Williams RB - KC ,0.00,D. Goedert TE - PHI ,1.00,H. Renfrow WR - LV ,21.60,115.40,Matthew,89.10
