Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Alex,1,J. Winston QB - NO IR ,16.88,M. Davis RB - ATL Q ,1.00,D. Swift RB - DET ,28.40,T. Hill WR - MIA ,12.70,D. Moore WR - CAR ,13.30,M. Andrews TE - BAL ,7.80,A. Gibson RB - WAS ,7.60,M. Prater K - ARI ,7.00,Panthers DEF ,2.00,R. Gronkowski TE - TB ,0.00,S. Diggs WR - BUF ,0.00,J. McKissic RB - WAS IR ,9.60,D. Cook RB - MIN ,0.00,J. Herbert QB - LAC ,0.00,Colts DEF ,11.00,96.68,Justin,142.48
Sean,2,M. Ryan QB - IND ,17.44,A. Kamara RB - NO ,33.90,D. Henderson RB - LA ,9.40,D. Hopkins WR - ARI IR ,18.30,C. Kupp WR - LA ,37.60,T. Hockenson TE - DET IR ,10.80,J. Chase WR - CIN ,34.10,M. Gay K - LA ,8.00,Packers DEF ,12.00,K. Hunt RB - CLE Q ,0.00,J. Allen QB - BUF ,0.00,N. Chubb RB - CLE ,0.00,D. Harris RB - NE ,25.30,C. Lamb WR - DAL ,0.00,Bills DEF ,0.00,181.54,Ulises,147.36
Justin,5,L. Jackson QB - BAL Q ,23.08,J. Mixon RB - CIN ,11.90,M. Gaskin RB - MIA ,17.70,R. Woods WR - TEN IR ,15.00,C. Sutton WR - DEN ,11.80,M. Gesicki TE - MIA ,21.50,M. Pittman WR - IND ,20.50,N. Folk K - NE ,14.00,Rams DEF ,7.00,A. Thielen WR - MIN IR ,0.00,E. Elliott RB - DAL Q ,0.00,G. Kittle TE - SF ,0.00,J. Robinson RB - JAX IR ,0.00,J. Hurts QB - PHI Q ,23.54,T. Bass K - BUF ,0.00,142.48,Alex,96.68
Luke,4,P. Mahomes QB - KC ,7.74,D. Henry RB - TEN ,16.40,L. Fournette RB - TB ,17.00,M. Evans WR - TB ,31.60,J. Waddle WR - MIA ,15.30,K. Pitts TE - ATL ,23.30,D. Johnson RB - CLE ,24.80,M. Crosby K - GB ,6.00,Buccaneers DEF ,21.00,A. Brown WR Q ,0.00,R. Tannehill QB - TEN ,19.40,C. Beasley WR - BUF ,0.00,A. Cooper WR - CLE ,0.00,H. Henry TE - NE ,10.30,A. Brown WR - PHI ,27.30,163.14,Matthew,113.74
Matthew,6,T. Brady QB - TB ,24.44,J. Taylor RB - IND ,18.00,C. Hubbard RB - CAR ,9.60,D. Adams WR - LV ,19.60,J. Meyers WR - NE ,9.40,N. Fant TE - SEA ,8.90,J. Jacobs RB - LV ,15.80,D. Carlson K - LV ,9.00,Ravens DEF ,-1.00,A. Rodgers QB - GB ,24.66,K. Allen WR - LAC ,0.00,M. Thomas WR - NO PUP ,0.00,C. McCaffrey RB - CAR IR ,0.00,S. Barkley RB - NYG ,0.00,D. Johnson WR - PIT ,0.00,113.74,Luke,163.14
Aiden,7,J. Burrow QB - CIN ,26.64,A. Collins RB - SEA IR ,5.40,A. Jones RB - GB ,8.90,T. Lockett WR - SEA ,3.20,C. Godwin WR - TB IR ,25.10,T. Kelce TE - KC ,13.50,B. Cooks WR - HOU Q ,7.10,J. Tucker K - BAL ,5.00,Saints DEF ,9.00,J. Jones WR - TEN ,5.80,R. Wilson QB - DEN ,0.00,D. Parker WR - NE ,0.00,C. Uzomah TE - NYJ ,24.10,C. Carson RB - SEA IR ,0.00,Cowboys DEF ,0.00,103.84,Howard,117.24
Howard,3,K. Murray QB - ARI ,21.44,C. Patterson RB - ATL ,14.10,C. Edmonds RB - MIA ,10.00,C. Ridley WR - ATL NFI-R ,12.60,M. Brown WR - ARI ,19.00,Z. Ertz TE - ARI ,16.00,D. Smith WR - PHI ,11.10,B. McManus K - DEN ,2.00,Cardinals DEF ,11.00,M. Jones WR - JAX ,0.00,M. Williams WR - LAC ,0.00,D. Schultz TE - DAL ,0.00,D. Montgomery RB - CHI ,0.00,D. Knox TE - BUF ,0.00,J. Jefferson WR - MIN ,0.00,117.24,Aiden,103.84
Ulises,8,M. Stafford QB - LA ,27.16,J. Conner RB - ARI ,12.40,D. Williams RB - KC ,8.00,D. Metcalf WR - SEA ,17.60,D. Samuel WR - SF ,21.00,D. Goedert TE - PHI ,12.00,T. McLaurin WR - WAS ,25.20,Y. Koo K - ATL ,12.00,Patriots DEF ,12.00,A. Robinson WR - LA ,3.60,D. Waller TE - LV ,0.00,D. Prescott QB - DAL ,0.00,A. Ekeler RB - LAC ,0.00,N. Harris RB - PIT ,0.00,R. Succop K - TB ,8.00,147.36,Sean,181.54
