Round,Pick,PlayerId,Player,Position,NFLTeam,FantasyTeam,ManagerName
1,1,2557973,Leonard Fournette,RB,TB,beaners,Howard
1,2,2557997,Christian McCaffrey,RB,CAR,Houston Stars,Sean
1,3,2556370,Michael Thomas,WR,NO,Jeanfreau Strange,Luke
1,4,2560968,Saquon Barkley,RB,NYG,Team Justin,Justin
1,5,2555224,Ezekiel Elliott,RB,DAL,The Booty Clappers,Ulises
1,6,2556075,Derrick Henry,RB,TEN,Beefcakes,Aiden
1,7,2558019,Alvin Kamara,RB,NO,The Labbers,Matthew
1,8,2540165,DeAndre Hopkins,WR,ARI,Team Cruz,Alex
2,9,2495454,Julio Jones,WR,ATL,Team Cruz,Alex
2,10,2556214,Tyreek Hill,WR,KC,The Labbers,Matthew
2,11,2560757,Lamar Jackson,QB,BAL,Beefcakes,Aiden
2,12,2558105,Chris Godwin,WR,TB,The Booty Clappers,Ulises
2,13,2557991,Dalvin Cook,RB,MIN,Team Justin,Justin
2,14,2558116,Aaron Jones,RB,GB,Jeanfreau Strange,Luke
2,15,2558125,Patrick Mahomes,QB,KC,Houston Stars,Sean
2,16,2543468,Mike Evans,WR,TB,beaners,Howard
3,17,2562382,Kyler Murray,QB,ARI,beaners,Howard
3,18,2555230,Kenyan Drake,RB,ARI,Houston Stars,Sean
3,19,2543495,Davante Adams,WR,GB,Jeanfreau Strange,Luke
3,20,2552487,Amari Cooper,WR,DAL,Team Justin,Justin
3,21,2559169,Austin Ekeler,RB,LAC,The Booty Clappers,Ulises
3,22,2540258,Travis Kelce,TE,KC,Beefcakes,Aiden
3,23,2561021,Nick Chubb,RB,CLE,The Labbers,Matthew
3,24,2562377,Josh Jacobs,RB,LV,Team Cruz,Alex
4,25,2558266,George Kittle,TE,SF,Team Cruz,Alex
4,26,2557976,Joe Mixon,RB,CIN,The Labbers,Matthew
4,27,238498,Julian Edelman,WR,NE,Beefcakes,Aiden
4,28,2552469,Melvin Gordon,RB,DEN,The Booty Clappers,Ulises
4,29,2558063,Deshaun Watson,QB,HOU,Team Justin,Justin
4,30,2532975,Russell Wilson,QB,SEA,Jeanfreau Strange,Luke
4,31,2562734,Devin Singletary,RB,BUF,Houston Stars,Sean
4,32,2555415,Austin Hooper,TE,CLE,beaners,Howard
5,33,2557898,Cooper Kupp,WR,LA,beaners,Howard
5,34,2562238,A.J. Brown,WR,TEN,Houston Stars,Sean
5,35,2495466,Mark Ingram,RB,BAL,Jeanfreau Strange,Luke
5,36,2540158,Zach Ertz,TE,PHI,Team Justin,Justin
5,37,2558052,Kenny Golladay,WR,DET,The Booty Clappers,Ulises
5,38,2540154,Keenan Allen,WR,LAC,Beefcakes,Aiden
5,39,2552430,Tyler Lockett,WR,SEA,The Labbers,Matthew
5,40,2562722,Miles Sanders,RB,PHI,Team Cruz,Alex
6,41,2543509,Allen Robinson,WR,CHI,Team Cruz,Alex
6,42,2540175,Le'Veon Bell,RB,KC,The Labbers,Matthew
6,43,2562502,David Montgomery,RB,CHI,Beefcakes,Aiden
6,44,2560957,Mark Andrews,TE,BAL,The Booty Clappers,Ulises
6,45,2541785,Adam Thielen,WR,MIN,Team Justin,Justin
6,46,2532865,T.Y. Hilton,WR,IND,Jeanfreau Strange,Luke
6,47,497240,Rob Gronkowski,TE,TB,Houston Stars,Sean
6,48,2552409,DeVante Parker,WR,MIA,beaners,Howard
7,49,2552475,Todd Gurley,RB,ATL,beaners,Howard
7,50,2552608,Stefon Diggs,WR,BUF,Houston Stars,Sean
7,51,71265,Jared Cook,TE,NO,Jeanfreau Strange,Luke
7,52,2540169,Robert Woods,WR,LA,Team Justin,Justin
7,53,2555260,Dak Prescott,QB,DAL,The Booty Clappers,Ulises
7,54,2562685,DK Metcalf,WR,SEA,Beefcakes,Aiden
7,55,2552408,Darren Waller,TE,LV,The Labbers,Matthew
7,56,2504211,Tom Brady,QB,TB,Team Cruz,Alex
8,57,2560888,Courtland Sutton,WR,DEN,Team Cruz,Alex
8,58,2506363,Aaron Rodgers,QB,GB,The Labbers,Matthew
8,59,2543457,Sammy Watkins,WR,KC,Beefcakes,Aiden
8,60,100021,New England Patriots,DEF,,The Booty Clappers,Ulises
8,61,2558865,Chris Carson,RB,SEA,Team Justin,Justin
8,62,2558123,Marlon Mack,RB,IND,Jeanfreau Strange,Luke
8,63,2543496,Odell Beckham Jr.,WR,CLE,Houston Stars,Sean
8,64,310,Matt Ryan,QB,ATL,beaners,Howard
9,65,2555341,Hunter Henry,TE,LAC,beaners,Howard
9,66,2562379,Marquise Brown,WR,BAL,Houston Stars,Sean
9,67,100029,San Francisco 49ers,DEF,,Jeanfreau Strange,Luke
9,68,2561018,D.J. Chark,WR,JAX,Team Justin,Justin
9,69,2536340,Justin Tucker,K,BAL,The Booty Clappers,Ulises
9,70,2506264,Robbie Gould,K,SF,Beefcakes,Aiden
