Round,Pick,PlayerId,Player,Position,NFLTeam,FantasyTeam,ManagerName
11,82,2557898,Cooper Kupp,WR,LA,Team Justin,Justin
11,83,2543457,Sammy Watkins,WR,KC,The Booty Clappers,Ulises
11,84,2560907,Marquez Valdes-Scantling,WR,GB,Hate minorities,Luke
11,85,2495466,Mark Ingram,RB,BAL,Scummy wummy,Ethan
11,86,2495455,Cam Newton,QB,CAR,Beefcakes,Aiden
11,87,2543773,James White,RB,NE,beaners,Howard
11,88,2543466,Eric Ebron,TE,IND,Houston Stars,Sean
12,89,2557848,Corey Davis,WR,TEN,Houston Stars,Sean
12,90,2562502,David Montgomery,RB,CHI,beaners,Howard
12,91,497322,Emmanuel Sanders,WR,SF,Beefcakes,Aiden
12,92,2555230,Kenyan Drake,RB,ARI,Scummy wummy,Ethan
12,93,2506922,Stephen Gostkowski,K,NE,Hate minorities,Luke
12,94,2495259,Dan Bailey,K,MIN,The Booty Clappers,Ulises
12,95,2506264,Robbie Gould,K,SF,Team Justin,Justin
12,96,2557856,O.J. Howard,TE,TB,Team GOAT,Alex
13,97,2543509,Allen Robinson,WR,CHI,Team GOAT,Alex
13,98,100022,New Orleans Saints,DEF,,Team Justin,Justin
13,99,100008,Dallas Cowboys,DEF,,The Booty Clappers,Ulises
13,100,2558250,Tarik Cohen,RB,CHI,Hate minorities,Luke
13,101,2558846,Mike Williams,WR,LAC,Scummy wummy,Ethan
13,102,100025,Philadelphia Eagles,DEF,,Beefcakes,Aiden
13,103,2560854,Calvin Ridley,WR,ATL,beaners,Howard
13,104,2506109,Ben Roethlisberger,QB,PIT,Houston Stars,Sean
14,105,2533039,Alshon Jeffery,WR,PHI,Houston Stars,Sean
14,106,2560813,D.J. Moore,WR,CAR,beaners,Howard
14,107,2532790,Travis Benjamin,WR,LAC,Beefcakes,Aiden
14,108,2556462,Robby Anderson,WR,NYJ,Scummy wummy,Ethan
14,109,100011,Green Bay Packers,DEF,,Hate minorities,Luke
14,110,2560735,Michael Gallup,WR,DAL,The Booty Clappers,Ulises
14,111,79607,LeSean McCoy,RB,KC,Team Justin,Justin
14,112,2555346,Will Fuller,WR,HOU,Team GOAT,Alex
15,113,2533034,Lamar Miller,RB,HOU,Team GOAT,Alex
15,114,100027,Pittsburgh Steelers,DEF,,Team Justin,Justin
15,115,2541161,Latavius Murray,RB,NO,The Booty Clappers,Ulises
15,116,2533040,Mohamed Sanu,WR,NE,Hate minorities,Luke
15,117,2557986,David Njoku,TE,CLE,Scummy wummy,Ethan
15,118,2505629,Jason Witten,TE,DAL,Beefcakes,Aiden
15,119,2555415,Austin Hooper,TE,ATL,beaners,Howard
15,120,2562685,D.K. Metcalf,WR,SEA,Houston Stars,Sean
