Round,Pick,PlayerId,Player,Position,NFLTeam,FantasyTeam,ManagerName
1,1,2559169,Austin Ekeler,RB,LAC,Team GOAT,Alex
1,2,2564148,Jonathan Taylor,RB,IND,Bad news bombers,Joshua
1,3,2556075,Derrick Henry,RB,TEN,Team Buzz,Justin
1,4,2566448,Najee Harris,RB,PIT,Greek Freak Fan Brook Lopez,Luke
1,5,2557898,Cooper Kupp,WR,LA,The Labbers,Matthew
1,6,2557991,Dalvin Cook,RB,MIN,Beefcakes,Aiden
1,7,2558019,Alvin Kamara,RB,NO,beaners,Howard
1,8,2557997,Christian McCaffrey,RB,SF,The Booty Clappers,Ulises
2,9,2561021,Nick Chubb,RB,CLE,The Booty Clappers,Ulises
2,10,2556214,Tyreek Hill,WR,MIA,beaners,Howard
2,11,2557976,Joe Mixon,RB,CIN,Beefcakes,Aiden
2,12,2564556,Justin Jefferson,WR,MIN,The Labbers,Matthew
2,13,2543495,Davante Adams,WR,LV,Greek Freak Fan Brook Lopez,Luke
2,14,2565941,Ja'Marr Chase,WR,CIN,Team Buzz,Justin
2,15,2540258,Travis Kelce,TE,KC,Bad news bombers,Joshua
2,16,2552608,Stefon Diggs,WR,BUF,Team GOAT,Alex
3,17,2562721,Deebo Samuel,WR,SF,Team GOAT,Alex
3,18,2565276,Antonio Gibson,RB,WAS,Bad news bombers,Joshua
3,19,2563965,D'Andre Swift,RB,PHI,Team Buzz,Justin
3,20,2557973,Leonard Fournette,RB,TB,Greek Freak Fan Brook Lopez,Luke
3,21,2560957,Mark Andrews,TE,BAL,The Labbers,Matthew
3,22,2560955,Josh Allen,QB,BUF,Beefcakes,Aiden
3,23,2562502,David Montgomery,RB,DET,beaners,Howard
3,24,2563848,CeeDee Lamb,WR,DAL,The Booty Clappers,Ulises
4,25,2566049,Javonte Williams,RB,DEN,The Booty Clappers,Ulises
4,26,2565830,Kyle Pitts,TE,ATL,beaners,Howard
4,27,2562238,A.J. Brown,WR,PHI,Beefcakes,Aiden
4,28,2558116,Aaron Jones,RB,GB,The Labbers,Matthew
4,29,2540154,Keenan Allen,WR,LAC,Greek Freak Fan Brook Lopez,Luke
4,30,2543468,Mike Evans,WR,TB,Team Buzz,Justin
4,31,2563731,Tee Higgins,WR,CIN,Bad news bombers,Joshua
4,32,2558266,George Kittle,TE,SF,Team GOAT,Alex
5,33,2560968,Saquon Barkley,RB,NYG,Team GOAT,Alex
5,34,2555224,Ezekiel Elliott,RB,DAL,Bad news bombers,Joshua
